contract_address,project_dir,ok,message,used_version,strategy,mode,main_file,elapsed_s,original_idx,label
0x3c70c11ff551960195a82b8f6f27c1e86baf1268,contracts/0x3c70c11ff551960195a82b8f6f27c1e86baf1268,True,Compiled OK,0.4.20,initial,all_files,,0.643,393342,events[_eventId].scenarios[events[_eventId].winningScenarioName].totalBet>0
0x24d7efce423b220e12fb8065ed782b4384c44921,contracts/0x24d7efce423b220e12fb8065ed782b4384c44921,False,Compilation failed (see log),,,,,12.133,315380,"msg.sender==FUND_OWNER,'WiseFunder: invalid address'"
0x1bfc7b0b704da712d75db176abf3607f791db6e5,contracts/0x1bfc7b0b704da712d75db176abf3607f791db6e5,True,Compiled OK,0.8.21,initial,all_files,,0.485,499382,"redisFeeOnBuy+taxFeeOnBuy<=25&&redisFeeOnSell+taxFeeOnSell<=25,""Fees set too high"""
0xfd72c3edd86b99d304a6ebb574874e7f03fcf47d,contracts/0xfd72c3edd86b99d304a6ebb574874e7f03fcf47d,True,Compiled OK,0.8.20,initial,all_files,,0.268,168973,"ad5524fd[_Acp]!=ax0x235ds,""existing state"""
0x0f17caa887cd584ebe662f15f48545085142304e,contracts/0x0f17caa887cd584ebe662f15f48545085142304e,True,Compiled OK,0.4.21,initial,all_files,,0.518,378802,c.balance>0
0x8e43a861e9f270b58b1801171c627421eb956cba,contracts/0x8e43a861e9f270b58b1801171c627421eb956cba,True,Compiled OK,0.8.2,initial,standard,,7.45,166003,"token.balanceOf(riskpoolWalletAddress)>=payout.amount,""ERROR:TRS-042:RISKPOOL_WALLET_BALANCE_TOO_SMALL"""
0x8f7e51d7487ebdcb9d729079074d8778e06c280a,contracts/0x8f7e51d7487ebdcb9d729079074d8778e06c280a,True,Compiled OK,0.5.12,initial,all_files,,0.404,382374,"transferFrom(_from,_to[index],_amounts[index])"
0xd751e02701eafd2fa9622edda7b844804dd64b65,contracts/0xd751e02701eafd2fa9622edda7b844804dd64b65,True,Compiled OK,0.8.9,initial,standard,,2.779,230857,"config.treasuryAddress!=address(0),""Treasury address cannot be null"""
0xdc4605fc4fbb24fd9fbb1e7b92e97f07897e7f05,contracts/0xdc4605fc4fbb24fd9fbb1e7b92e97f07897e7f05,True,Compiled OK,0.8.0,initial,all_files,,0.152,132066,"_balances[src]>=amount,""FidaToken::_transferTokens: transfer amount exceeds balance"""
0x20dcfd11c42af18fb51c4e60e9c90018438be9a1,contracts/0x20dcfd11c42af18fb51c4e60e9c90018438be9a1,True,Compiled OK,0.5.9,initial,standard,,1.029,512189,"_ownerOf(id)!=address(0),""Id does not exist"""
0x392c4c2666577e6f48d6f5a4f444d465d9f438d7,contracts/0x392c4c2666577e6f48d6f5a4f444d465d9f438d7,True,Compiled OK,0.7.6,initial,all_files,,0.504,343590,"earlyAccessAllowList[msg.sender],'Sender is not on the early access list'"
0x2a519d0b00e39e87577e89bbff8d4c8440f276be,contracts/0x2a519d0b00e39e87577e89bbff8d4c8440f276be,True,Compiled OK,0.6.6,initial,standard,,0.244,229416,"commitments[_requestId]==paramsHash,""Params do not match request ID"""
0x4feabf81f52abd7b10fb8140de05b0ed79c45f98,contracts/0x4feabf81f52abd7b10fb8140de05b0ed79c45f98,False,Compilation failed (see log),,,,,0.422,389965,"bObject.amount!=0,""Your bet amount is 0"""
0x8fac0d6f6ea7a79c2da7e3f52535f2a5ed89b39f,contracts/0x8fac0d6f6ea7a79c2da7e3f52535f2a5ed89b39f,False,Compilation failed (see log),,,,,0.468,369052,msg.sender==adminAddress
0x3329451c89e8d4572a88da2f1dc2e6a84347d480,contracts/0x3329451c89e8d4572a88da2f1dc2e6a84347d480,False,Compilation failed (see log),,,,,2.056,279300,"_balance.mod(minInvestParticle)==0,""wrong investment amount"""
0xd6e33c11cff866162787b7198030aac101a61f29,contracts/0xd6e33c11cff866162787b7198030aac101a61f29,True,Compiled OK,0.4.24,initial,all_files,,0.492,381569,"RTI.stakeContractAddress()==address(this),""rtc token contract is not set to use this contract as the staking contract"""
0x5b9d426ac4c1262c0a1c7634638c81dd45302f51,contracts/0x5b9d426ac4c1262c0a1c7634638c81dd45302f51,True,Compiled OK,0.8.19,initial,standard,,1.894,513009,"totalOgMinted+quantity<=settings.ogAllowlistMaxPerPhase,""Max per phase exceeded"""
0x3d37eb1ad0cc20e123a2e34cf58eb38ba068dbd3,contracts/0x3d37eb1ad0cc20e123a2e34cf58eb38ba068dbd3,True,Compiled OK,0.5.10,initial,standard,,0.528,149861,_isContract(newWatchers[i])
0xb2fa1d5b343ec644b77021766b4f6e2eff099c7a,contracts/0xb2fa1d5b343ec644b77021766b4f6e2eff099c7a,True,Compiled OK,0.8.19,initial,all_files,,0.128,139975,"_isWhiteListed[from]||_isWhiteListed[to],""TO2"""
