original_idx,label,contract_address
242473,"_holderTransferTimestamp[tx.origin]<block.number,""_transfer:: Transfer Delay enabled.  Only one purchase per block allowed.""",0x3c7119e17b8fac9e4968caebc1f6a08ad0646e57
343590,"earlyAccessAllowList[msg.sender],'Sender is not on the early access list'",0x392c4c2666577e6f48d6f5a4f444d465d9f438d7
229416,"commitments[_requestId]==paramsHash,""Params do not match request ID""",0x2a519d0b00e39e87577e89bbff8d4c8440f276be
389965,"bObject.amount!=0,""Your bet amount is 0""",0x4feabf81f52abd7b10fb8140de05b0ed79c45f98
212278,"msg.sender==masterContract,""Only the master contract can perform this action!""",0x3c1c85bd2561f18fb525f090ee12662d9bbbd29f
369052,msg.sender==adminAddress,0x8fac0d6f6ea7a79c2da7e3f52535f2a5ed89b39f
166751,"balanceOf(msg.sender)+_mintAmount<3,""Max Mint per wallet reached""",0xd4dadf0f7e036a19dc9216dcdc76e82f8353dcc1
372900,"swapAddresses.length==addUnderlying.length,""Mismatched arrays""",0x0c32fcdc542d7a00ddcb0ff1ac6e266a04eebdb1
504216,"MerkleProof.verify(_merkleProof,firstSaleMerkleRoot,leaf),""Invalid Merkle Proof.""",0x95648a2d1adf340ee30286f33a7d239d93a708b9
308354,data.length%2<=0,0x08d45d9d7de6845d2d1744eaa34dd0a90374bcfb
298782,"stakeholdersIndex.length==0,""Stakeholders already setup""",0xb4b4bae517c2ebe938ca2ddf1fe7ae7dee114e16
267913,"isExcludedFromFee[_address]!=_status,""Status was set""",0x22c2696e288851d3fcf4338a0aadf9e1b8b5502c
360689,"stakingID.length>0,'StakingRewardsFactory::notifyRewardAmounts: called before any deploys'",0x3176cdc8147d99b68faaf54bad7cc78b488c8fc7
487713,"token.approve(address(this),data.tokenBalance),""Approval Failed""",0xaf9c61a17d7f64507b983dd90de471cd010ede12
312758,userLock[_holder].release_time>0,0xe98296ee3e814beb3c8fba1e29a8a4287acec769
18756,"token.approve(arbitration,getTotal(id)),""Approval for transfer failed during dispute.""",0xb3c348c4a6d95fee050bf8a770fc91ec60aa4ab2
364682,balanceOf[this]>convert(_amount),0x7613b207ef1cd3ca38adb0c539e5aa56caf4254b
279300,"_balance.mod(minInvestParticle)==0,""wrong investment amount""",0x3329451c89e8d4572a88da2f1dc2e6a84347d480
170430,"isAllowlisted(_owner,_merkleProof),""!allowlisted""",0x9da00671cd4b846b1ae998ecb74f164f742e6d38
29103,"ownerOf[tokenId]==address(0),""ALREADY_MINTED""",0x19330e05464f8c6e671e7be24a8b220874ee082b
499885,"isStaking(msg.sender,validator),""You are not staking!?""",0xc3a5ae5a7cf2f878cf7ccf23965d6bbdf8f1c154
381569,"RTI.stakeContractAddress()==address(this),""rtc token contract is not set to use this contract as the staking contract""",0xd6e33c11cff866162787b7198030aac101a61f29
295976,"_transferKingToken(to,amount),""failed to transfer""",0x3191742d10f90ddb01327a7995ef62900ece8157
332911,"CONSOLE.ownerOf(_id)==msg.sender,'only_console_owner'",0x882e5b370d595e50c24b2a0e7a94e87cc32adda1
24799,"totalSupply()+quantity<=MAX_TOKENS,""Sold out: no more tokens available to mint.""",0xd340a138109f0c37ed4c8a35bac6951b3a96a24d
162065,"token.transferrable,""Failed""",0xdf6d509c3dfebd42a9c2b3fb3af2524443bcbc43
513009,"totalOgMinted+quantity<=settings.ogAllowlistMaxPerPhase,""Max per phase exceeded""",0x5b9d426ac4c1262c0a1c7634638c81dd45302f51
149861,_isContract(newWatchers[i]),0x3d37eb1ad0cc20e123a2e34cf58eb38ba068dbd3
139975,"_isWhiteListed[from]||_isWhiteListed[to],""TO2""",0xb2fa1d5b343ec644b77021766b4f6e2eff099c7a
