contract_address,project_dir,recompile_ok,recompile_message,used_version,n_sources,mode,elapsed_s,original_idx,label
0xd2287a52287dd64ae2c690d74322e2e345dc8f69,contracts/0xd2287a52287dd64ae2c690d74322e2e345dc8f69,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.031,350834,"_exchangeWallets[wallet],""This wallet does not exists in exchange wallets"""
0xfffff4ff386013f4b9dac8874f856dec0e802467,contracts/0xfffff4ff386013f4b9dac8874f856dec0e802467,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,1,all_files,0.051,23434,"(allowed[msg.sender][_spender]==0)||(_amount==0),""Approve amount error"""
0x48c881ee9bc4a95de428bc0d34fe8e9691f9e893,contracts/0x48c881ee9bc4a95de428bc0d34fe8e9691f9e893,True,"Compiled OK (initial v0.8.19, mode=all_files)",0.8.19,1,all_files,0.096,491729,"userToAmounts[_user]>0&&claimed[_user]!=true,""ClaimFunds: User not set or already claimed"""
0x46ad2d37ceaee1e82b70b867e674b903a4b4ca32,contracts/0x46ad2d37ceaee1e82b70b867e674b903a4b4ca32,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,1,all_files,0.054,284122,"bondState.willUnlock>0&&now>bondState.willUnlock,'BOND_NOT_UNLOCKED'"
0xa5b5b72362654adf78f6e89834db80f2cbb9da14,contracts/0xa5b5b72362654adf78f6e89834db80f2cbb9da14,True,"Compiled OK (initial v0.5.6, mode=standard)",0.5.6,2,standard,0.373,351839,"isSubscriber(_subscriber)==0,""You already subscribed."""
0xc5fbc09cfb3c33f2c11a2b2926044680c17ac728,contracts/0xc5fbc09cfb3c33f2c11a2b2926044680c17ac728,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.02,341174,"_isRoomRegistered[roomId][registrant],""Unexist registrant in the room!"""
0x9705a7113363a383c8a96689e20286abe6612bb3,contracts/0x9705a7113363a383c8a96689e20286abe6612bb3,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,6,standard,0.238,399221,"msg.sender==owner||msg.sender==_minter,""NOT_AUTHORIZED"""
0xc2899dfcb0a81b73e89e4a99cd24ab26d8a78295,contracts/0xc2899dfcb0a81b73e89e4a99cd24ab26d8a78295,True,"Compiled OK (initial v0.6.12, mode=standard)",0.6.12,7,standard,0.467,158458,"entityNodeCount[msg.sender]<maxNodes,""limit reached"""
0x2424c30e589caea191c06f41d1f5b90348dbed7d,contracts/0x2424c30e589caea191c06f41d1f5b90348dbed7d,True,"Compiled OK (initial v0.5.17, mode=standard)",0.5.17,20,standard,0.785,88019,"redeemInternal(redeemTokens,false)==0,""redeem failed"""
0x92ed38d4b70e167084e820e1beaab92c7cd80316,contracts/0x92ed38d4b70e167084e820e1beaab92c7cd80316,True,"Compiled OK (initial v0.6.12, mode=all_files)",0.6.12,1,all_files,0.082,25793,"canMint(msg.sender),""Unauthorized Action!"""
0x5731f2cccb7f964f2d06386d3694a2be28d56e13,contracts/0x5731f2cccb7f964f2d06386d3694a2be28d56e13,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.036,381936,"nftToken.mintingStatus>0,""Minting already stop now!"""
0x8575b2dbbd7608a1629adaa952aba74bcc53d22a,contracts/0x8575b2dbbd7608a1629adaa952aba74bcc53d22a,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,17,standard,0.661,5531,"_isVerifiedCoupon(digest,coupon),'Invalid coupon'"
0x7a17fe9058a071d2ebcde1c49f9b669784b06ea8,contracts/0x7a17fe9058a071d2ebcde1c49f9b669784b06ea8,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,15,standard,0.192,203147,"totalSupply+amount<=supplyCap,""OmniTokenNoBorrow::deposit: Supply cap exceeded."""
0xeecb5fa41f9e3c52708d7eec8d479f9ef6865589,contracts/0xeecb5fa41f9e3c52708d7eec8d479f9ef6865589,False,Failed to set solc 99.99.17: Solc binary for v99.99.17 is not available for this OS,99.99.17,1,none,0.133,39309,"(recoveredAddress!=address(0)&&recoveredAddress==owner)||isApprovedForAll[owner][recoveredAddress],'INVALID_PERMIT_SIGNATURE'"
0x8e43a861e9f270b58b1801171c627421eb956cba,contracts/0x8e43a861e9f270b58b1801171c627421eb956cba,True,"Compiled OK (initial v0.8.2, mode=standard)",0.8.2,53,standard,7.03,166003,"token.allowance(riskpoolWalletAddress,address(this))>=payout.amount,""ERROR:TRS-043:PAYOUT_ALLOWANCE_TOO_SMALL"""
0xcc2ba2eac448d60e0f943ebe378f409cb7d1b58a,contracts/0xcc2ba2eac448d60e0f943ebe378f409cb7d1b58a,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,1,all_files,0.058,26814,"s.length>=3,""the number of signers must be >=3"""
0xfa080bfbcffe69ca73672e015382aed5a459098d,contracts/0xfa080bfbcffe69ca73672e015382aed5a459098d,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,1,all_files,0.054,394232,"expirationTimestamp-24hours>block.timestamp,""cover has expired or is 24 hours away from expiring!"""
0x9edef2a3f3f0488b9dca01eb80c96c2cd1747572,contracts/0x9edef2a3f3f0488b9dca01eb80c96c2cd1747572,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.034,289552,"totalSupply.current()+_mintAmount<=maxSupply-ownerReserveBackend,""max NFT limit exceeded"""
0x4f6be59d4203db1e231b66d426531eae4b283dfb,contracts/0x4f6be59d4203db1e231b66d426531eae4b283dfb,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.293,385251,msg.value>=100finney
0xb48361032956d52f1ade21c73c273644f4ea24ca,contracts/0xb48361032956d52f1ade21c73c273644f4ea24ca,True,"Compiled OK (initial v0.8.19, mode=all_files)",0.8.19,1,all_files,0.096,408901,"buyAllocation+sellAllocation==100,"" Must equals to 100%"""
0x839c578093482608e8c8c39bec473acb385b0849,contracts/0x839c578093482608e8c8c39bec473acb385b0849,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,10,standard,0.507,467791,"usersCurrentLentAmount[msg.sender]>=_amountEther,""You Did not lend that much."""
0xbd1a17da323c17d427a22bb5ab3de9692a055d83,contracts/0xbd1a17da323c17d427a22bb5ab3de9692a055d83,True,"Compiled OK (initial v0.8.20, mode=all_files)",0.8.20,1,all_files,0.139,146918,"DewToken.balanceOf(address(this))>=redneck.amount,""No Enough Balance"""
0x96e3a092a5ebda8558527a676a93aff64742779a,contracts/0x96e3a092a5ebda8558527a676a93aff64742779a,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,6,standard,0.104,456913,"lastBuy[sender]+sellDelay<block.timestamp,""Too early"""
0x390023a3fc01db3d8d74390d2df15f0a3c9a1e5a,contracts/0x390023a3fc01db3d8d74390d2df15f0a3c9a1e5a,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,21,standard,1.114,418844,"onlyCaseAdresses(_msgSenderContract())||msg.sender==owner(),""DogsFactory: The address is not an approved case or owner"""
0x6f69141c0419b1d94c29bd5972f99213c2ce7b92,contracts/0x6f69141c0419b1d94c29bd5972f99213c2ce7b92,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,16,standard,0.969,323979,"MintedReserves+_mintAmount<=TotalReservedAmount,'Not enough reserve tokens'"
0x717ef162cf831db83c51134734a15d1ebe9e516a,contracts/0x717ef162cf831db83c51134734a15d1ebe9e516a,True,"Compiled OK (initial v0.7.5, mode=standard)",0.7.5,16,standard,1.741,19270,"refundTokens(to,token0,depositOrder.share0,token1,depositOrder.share1,depositOrder.unwrap),'ID_REFUND_FAILED'"
0x8370755996aa651d0948ce80d131e73877a9f43f,contracts/0x8370755996aa651d0948ce80d131e73877a9f43f,True,"Compiled OK (initial v0.6.12, mode=standard)",0.6.12,3,standard,0.088,51033,"msg.sender!=_owner,""Owner cannot stake"""
0xbfc7981cf55eedac7bc741d1823adc40a33a8071,contracts/0xbfc7981cf55eedac7bc741d1823adc40a33a8071,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,15,standard,0.04,176554,"NFTsMinted+numberToMint<=NFTsLimit,""All NFTs have already been minted"""
0xd0f0858578c7780f2d65f6d81bc7ddbe166367cc,contracts/0xd0f0858578c7780f2d65f6d81bc7ddbe166367cc,True,"Compiled OK (initial v0.7.6, mode=standard)",0.7.6,10,standard,0.328,46520,"token.balanceOf(address(strategy))>0,""No balance to migrate"""
0x906c4469a14dba18bf7457d84f74e8729438d1fb,contracts/0x906c4469a14dba18bf7457d84f74e8729438d1fb,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,28,standard,0.737,500784,"_ownerOf(tokenIds[j])==address(0),""ERC721: token already minted"""
0x4192d4120bf0ca3c1858ad598d8f1e266cc01089,contracts/0x4192d4120bf0ca3c1858ad598d8f1e266cc01089,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.039,257909,"quantity+WLmintedCounts[msg.sender]<=2,""To much Wovles"""
0x5cf078104da626848b8149fc4b86d0c49932567b,contracts/0x5cf078104da626848b8149fc4b86d0c49932567b,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.047,306131,"hasRole(CITY_ADMIN_ROLE,_msgSender()),""CITYCONTROLLER: must have city admin role to whitelist city"""
0x6da5c9e66a9a356077e4072d05fa80340dd9c809,contracts/0x6da5c9e66a9a356077e4072d05fa80340dd9c809,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.024,173763,"buyDevFee+buyLiquidityFee<=30,""Must keep buy taxes below 30%"""
0xcdf9baff52117711b33210ade38f1180cfc003ed,contracts/0xcdf9baff52117711b33210ade38f1180cfc003ed,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.137,330966,_balanceOf[msg.sender]>=_amount
0x9ec46a3dd227fd5977c7f1997c043122a703ff2a,contracts/0x9ec46a3dd227fd5977c7f1997c043122a703ff2a,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,16,standard,0.678,379149,_addresses.length==_tokenUris.length
0xbbdcdb3743aa88c0e1ddedd92ecb02e5afc1f9ca,contracts/0xbbdcdb3743aa88c0e1ddedd92ecb02e5afc1f9ca,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,2,standard,0.037,45456,msg.sender==metaani
0xe57cae28d7bae2cb1db64251fda638cab8f29c58,contracts/0xe57cae28d7bae2cb1db64251fda638cab8f29c58,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,13,standard,0.261,307185,"msg.value>=cost*_ticketAmount,""insufficient funds"""
0xccfdb8206b11dace64a61bcb6f384007cb3992a0,contracts/0xccfdb8206b11dace64a61bcb6f384007cb3992a0,True,"Compiled OK (initial v0.5.17, mode=standard)",0.5.17,45,standard,1.081,24436,"ids.length==1,""Should be a single id"""
0xe5146ba42448d1cebe19a7db52ebaa102821171e,contracts/0xe5146ba42448d1cebe19a7db52ebaa102821171e,True,"Compiled OK (initial v0.7.6, mode=standard)",0.7.6,8,standard,0.082,304035,"distribution.lastRewardBlock<block.number,""Cannot claim the rewards twice in the same block"""
0x085cc3b02a29d85c2cc314e1875d52c4e33386d7,contracts/0x085cc3b02a29d85c2cc314e1875d52c4e33386d7,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,15,standard,0.19,100487,"msg.value==quantity*mintPrice,""Wrong amount of eth sent"""
0x26769c3261f08953d97626667afafbd2d795fdf3,contracts/0x26769c3261f08953d97626667afafbd2d795fdf3,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,1,all_files,0.063,372016,msg.sender==parentAddress
0xa55a8af51e0df4c1417048a7edb85bc17dc7987e,contracts/0xa55a8af51e0df4c1417048a7edb85bc17dc7987e,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.037,143891,"supply.current()+_mintAmount<=_ogSupply,""No more OG's left!"""
0x38a5cf926a0b9b5fe3a265c57d184ad8c0af05b6,contracts/0x38a5cf926a0b9b5fe3a265c57d184ad8c0af05b6,True,"Compiled OK (initial v0.4.18, mode=standard)",0.4.18,14,standard,1.205,20815,"feeBurnerContract.handleFees(weiAmount,rateResult.reserve1,tradeInput.walletId)"
0x9bb26200691a21e8f737424e6d800609e3c5b2fe,contracts/0x9bb26200691a21e8f737424e6d800609e3c5b2fe,True,"Compiled OK (initial v0.6.12, mode=all_files)",0.6.12,1,all_files,0.075,56791,"msg.sender==ownerOf(_airdropId),""Airdrop: You must be the owner of the NFT to claim tokens"""
0xf39241012dca1612c5c77c5a09d853c5bf47737b,contracts/0xf39241012dca1612c5c77c5a09d853c5bf47737b,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.043,220152,"totalSupply()+count<=_freeSupply,""Exceed max free supply"""
0x2e59191a11dc1c4b7a32d625d946fb35d267fa72,contracts/0x2e59191a11dc1c4b7a32d625d946fb35d267fa72,True,"Compiled OK (initial v0.6.12, mode=all_files)",0.6.12,1,all_files,0.05,416748,"msg.value==idoEtherAmount,""Insufficient transfer quantity"""
0x68866991a8a389f78c181ab41f00f2fa96081e1d,contracts/0x68866991a8a389f78c181ab41f00f2fa96081e1d,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,13,standard,0.198,15578,reserveMinted+amount_<=teamReserved
0xac1994bd71fe2d5a6d09e7b8a861fa406c39de94,contracts/0xac1994bd71fe2d5a6d09e7b8a861fa406c39de94,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,24,standard,1.221,284967,"xAmount+yAmount>=tokensInAssetNowSellAmounts[i],""Not enought value in asset"""
0x85e258785e7a84ff26538df00cdb1ae6ce36c459,contracts/0x85e258785e7a84ff26538df00cdb1ae6ce36c459,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.049,169264,"validateName(newName)==true,""Not a valid new name"""
0xbc6b62f8a695aafc4f1965067ea981f8bc47924b,contracts/0xbc6b62f8a695aafc4f1965067ea981f8bc47924b,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,9,standard,0.77,247136,"msg.value==quantity*whiteListConfig.price,""Incorrect price."""
0x8972c720c0a50ca7c5c026ad52c4964a58c54214,contracts/0x8972c720c0a50ca7c5c026ad52c4964a58c54214,True,"Compiled OK (initial v0.8.17, mode=standard)",0.8.17,22,standard,4.21,456852,msg.sender==reRollDuplicateRole
0x9af15d7b8776fa296019979e70a5be53c714a7ec,contracts/0x9af15d7b8776fa296019979e70a5be53c714a7ec,True,"Compiled OK (initial v0.6.12, mode=standard)",0.6.12,21,standard,0.139,40868,"destPolicy.lockType!=LockLib.LockType.NoIn&&destPolicy.lockType!=LockLib.LockType.NoTransaction,""Locker: not allowed destination"""
0xba4f753781b1e7a9e2a46618b7721a4685206020,contracts/0xba4f753781b1e7a9e2a46618b7721a4685206020,True,"Compiled OK (initial v0.7.6, mode=standard)",0.7.6,23,standard,0.211,20846,"block.timestamp>=stakingRewardsGenesis,""not ready"""
0x992a0c80553a2c01fb8b7843b81ad522c106f8bb,contracts/0x992a0c80553a2c01fb8b7843b81ad522c106f8bb,False,"SolcError (v0.8.30, mode=standard)
--- stderr (tail) ---

--- stdout (tail) ---
C721AQueryable.sol"",""start"":-1},""type"":""Warning""},{""component"":""general"",""errorCode"":""4327"",""formattedMessage"":""TypeError: Function needs to specify overridden contracts \""ERC721A\"" and \""IERC721A\"".\n  --> contracts/MisterToshi.sol:78:40:\n   |\n78 |     function tokenURI(uint256 tokenId) override public view virtual returns(string memory){\n   |                                        ^^^^^^^^\nNote: This contract: \n  --> erc721a/contracts/ERC721A.sol:36:1:\n   |\n36 | contract ERC721A is IERC721A {\n   | ^ (Relevant source part starts here and spans across multiple lines).\nNote: This contract: \n  --> erc721a/contracts/IERC721A.sol:10:1:\n   |\n10 | interface IERC721A {\n   | ^ (Relevant source part starts here and spans across multiple lines).\n\n"",""message"":""Function needs to specify overridden contracts \""ERC721A\"" and \""IERC721A\""."",""secondarySourceLocations"":[{""end"":41316,""file"":""erc721a/contracts/ERC721A.sol"",""message"":""This contract: "",""start"":864},{""end"":8681,""file"":""erc721a/contracts/IERC721A.sol"",""message"":""This contract: "",""start"":116}],""severity"":""error"",""sourceLocation"":{""end"":3519,""file"":""contracts/MisterToshi.sol"",""start"":3511},""type"":""TypeError""}],""sources"":{}}
",0.8.30,11,none,0.044,111604,"msg.value>=(MINT_PRICE*quantity),""NEED MORE ETH FOR GAS!"""
0x350232f55a38254320c0200c216ac899f6808014,contracts/0x350232f55a38254320c0200c216ac899f6808014,True,"Compiled OK (initial v0.7.6, mode=standard)",0.7.6,16,standard,1.678,215158,"refundToken(order.token0,to,order.value0,order.unwrap),'TD14'"
0x19aea60e2fd6ac54ecf2576292c8fc7046429c37,contracts/0x19aea60e2fd6ac54ecf2576292c8fc7046429c37,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.165,41571,totalSoldTokens+newTokens<=TOTAL_SOLD_TOKEN_SUPPLY_LIMIT
0x08fff1846ae3c1482ed60e0cc41a6a3e1b87e820,contracts/0x08fff1846ae3c1482ed60e0cc41a6a3e1b87e820,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.174,325550,msg.value>=preICOLimit
0xf9b8ef1a9845a365405930ce5e9faacb187a06da,contracts/0xf9b8ef1a9845a365405930ce5e9faacb187a06da,True,"Compiled OK (initial v0.7.6, mode=standard)",0.7.6,7,standard,0.063,354970,"stakingToken.balanceOf(address(this))>=TOTAL_REWARD_SUPPLY,""Not enough staking rewards"""
0x0cba7ed3a53d5ed5729a26f52d98bb9507463bc9,contracts/0x0cba7ed3a53d5ed5729a26f52d98bb9507463bc9,True,"Compiled OK (initial v0.8.21, mode=all_files)",0.8.21,1,all_files,0.099,218665,msg.sender==desmaster
0xf15969fe3a62098b80874457c28992dc3a1b20e3,contracts/0xf15969fe3a62098b80874457c28992dc3a1b20e3,True,"Compiled OK (initial v0.6.1, mode=standard)",0.6.1,77,standard,11.72,15178,"IZeroExV3(_targetExchange).isValidOrderSignature(order,_signature),""INVALID_ORDER_SIGNATURE"""
0xc5b72895360c15313db8314610a5d976ce6775de,contracts/0xc5b72895360c15313db8314610a5d976ce6775de,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,1,all_files,0.088,18392,"fromToken.balanceOf(address(this))>=_amount,""Insufficient Balance"""
0x6fb9e1626316e4ff477b62fe6f77d03d85bca455,contracts/0x6fb9e1626316e4ff477b62fe6f77d03d85bca455,True,"Compiled OK (initial v0.8.11, mode=standard)",0.8.11,11,standard,0.782,32019,"ACTIVE[_shieldId],""Mimic Shield: aura is already inactive"""
0x55486dd002430bd8c739ce39a8cc7dddf42c0409,contracts/0x55486dd002430bd8c739ce39a8cc7dddf42c0409,True,"Compiled OK (initial v0.7.6, mode=all_files)",0.7.6,1,all_files,0.107,361762,"cpcPig.ownerOf(PIGtokenId1)==msg.sender,""Must own the CPC pig1 for requested tokenId to mint a 3d PIG"""
0x12d6b6b7d5e26fffb7aea9906ad8db22eb7f7481,contracts/0x12d6b6b7d5e26fffb7aea9906ad8db22eb7f7481,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,15,standard,0.464,5172,"msg.value>=ethPrice*_numberOfNFTs,""insufficient funds for qty requested"""
0x4e9f25a9524f8be88212112b0405af162754069e,contracts/0x4e9f25a9524f8be88212112b0405af162754069e,True,"Compiled OK (initial v0.4.25, mode=all_files)",0.4.25,1,all_files,0.935,15568,support.supportsInterface(INTERFACE_CHAINGEAR_EULER_ID)
0x07f1d62705f380757f81a12b5bbe5e66fc471e79,contracts/0x07f1d62705f380757f81a12b5bbe5e66fc471e79,True,"Compiled OK (initial v0.4.23, mode=standard)",0.4.23,18,standard,1.348,395360,"tokenTransferProxy.transferFrom(token,from,to,amount)"
0x9a6dc0f8029e367ab1fe70a566301371b584ccb3,contracts/0x9a6dc0f8029e367ab1fe70a566301371b584ccb3,True,"Compiled OK (initial v0.7.4, mode=standard)",0.7.4,12,standard,0.245,41543,"dogira.getFeeless(address(foundingMember4VestingContract)),""The member 4 vesting contract should be set to feeless."""
0x68b9c676b21e24b7bda336fc048021339bbb3382,contracts/0x68b9c676b21e24b7bda336fc048021339bbb3382,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,18,standard,0.735,116906,"_order_ids[id]==false,""Duplicate id"""
0xbe9133c978b480410cbfb6c1157941c5e363ade9,contracts/0xbe9133c978b480410cbfb6c1157941c5e363ade9,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,24,standard,0.388,83057,"supply+_quantity<=MAX_SUPPLY,""Max supply over"""
0x22d3c0480ad365a5691747bb17d6e2d357c11c7f,contracts/0x22d3c0480ad365a5691747bb17d6e2d357c11c7f,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,9,standard,0.341,221369,"msg.value>=_battle.actualAmount+serviceFeeWei,'not enough ETH in wallet to battle this much'"
0x26ed62ba64c9d174298edb527506ae1df419cfae,contracts/0x26ed62ba64c9d174298edb527506ae1df419cfae,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.152,377670,prices[currency].value>0
0xbc52dda0312bf75dd4018fdd54cb903f221b534d,contracts/0xbc52dda0312bf75dd4018fdd54cb903f221b534d,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.312,300228,msg.value!=0ether
0xf6cfe53d6febaeea051f400ff5fc14f0cbbdaca1,contracts/0xf6cfe53d6febaeea051f400ff5fc14f0cbbdaca1,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.236,26928,msg.value>MIN_INVEST_ETHER
0xdb63d40c033d35e79cdbb21430f0fe10e9d97303,contracts/0xdb63d40c033d35e79cdbb21430f0fe10e9d97303,True,"Compiled OK (initial v0.4.11, mode=all_files)",0.4.11,1,all_files,0.275,51007,"vestingToken.transfer(msg.sender,amountWithdrawable)"
0x0f5ca3cffb05f41b673178b7619d6cd744709a30,contracts/0x0f5ca3cffb05f41b673178b7619d6cd744709a30,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,6,standard,0.025,472859,"_scheduleAmount.length==TokenLockConst.CONST_SCHEDULE_COUNT,""Array is incorrect."""
0x11cd28046e5fd8b0590049eb9a700aacc752ea50,contracts/0x11cd28046e5fd8b0590049eb9a700aacc752ea50,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,7,standard,0.289,113211,"_actions[actionId].actionType==actionType,""Action Mismatch"""
0x922ac473a3cc241fd3a0049ed14536452d58d73c,contracts/0x922ac473a3cc241fd3a0049ed14536452d58d73c,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.116,345447,_holders.length<255
0xab8719761d89f18466fe99e5720682d5aaf7b017,contracts/0xab8719761d89f18466fe99e5720682d5aaf7b017,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.03,203999,_msgSender()==liqAddress
0xe45b918fe144695539a7ef97d3077943354152de,contracts/0xe45b918fe144695539a7ef97d3077943354152de,True,"Compiled OK (initial v0.8.3, mode=all_files)",0.8.3,1,all_files,0.397,333308,"stakingBalancesLiquidity[msg.sender]==0,""Liquidity staking position already exists"""
0x87ec4ae05076bf9d2afcd48fa151c6fb4071e59d,contracts/0x87ec4ae05076bf9d2afcd48fa151c6fb4071e59d,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.105,355074,isBotAddress[_botAddress]
0xff2fb3243d745a668404ce1ff28860e7e87d4798,contracts/0xff2fb3243d745a668404ce1ff28860e7e87d4798,True,"Compiled OK (initial v0.8.7, mode=all_files)",0.8.7,1,all_files,0.1,215744,"msg.value==modes[saleMode].price*amount,""Incorrect Eth value."""
0x1d3740379db7b86999d2ef60ca745f213e25684a,contracts/0x1d3740379db7b86999d2ef60ca745f213e25684a,True,"Compiled OK (initial v0.8.30, mode=all_files)",0.8.30,1,all_files,0.041,513124,"block.timestamp<STAKING_MINT_END_TIMESTAMP,""No longer available"""
0x31d3341342d2a7a68eddf5759c820efd568d91da,contracts/0x31d3341342d2a7a68eddf5759c820efd568d91da,True,"Compiled OK (initial v0.8.30, mode=standard)",0.8.30,11,standard,0.376,154217,"_currentTokenId+len<=420,"""""
0x6b2ca673f47834cf1ed5e13ec3b01b106a26192e,contracts/0x6b2ca673f47834cf1ed5e13ec3b01b106a26192e,True,"Compiled OK (initial v0.4.26, mode=all_files)",0.4.26,1,all_files,0.139,291310,vaultAmount[msg.sender]>0
