,original_index,ground_truth,synthesized,result
13,13,"balanceOf(msg.sender,1)>=0&&balanceOf(msg.sender,2)>=0&&balanceOf(msg.sender,3)>=0&&balanceOf(msg.sender,4)>=0",activeBurn,The predicates are not equivalent and neither is stronger.
14,14,depositors.length==policyIDs.length&&depositors.length==deadlines.length&&depositors.length==vs.length&&depositors.length==rs.length&&depositors.length==ss.length,depositors.length==policyIDs.length&&deadlines.length==policyIDs.length&&vs.length==policyIDs.length&&rs.length==policyIDs.length&&ss.length==policyIDs.length,The predicates are not equivalent and neither is stronger.
15,15,odds>(10**oddsDecimals)&&odds<((10**8)*(10**oddsDecimals)),odds>0,The predicates are not equivalent and neither is stronger.
16,16,sellToken.length<=maxTransactions&&sellToken.length==buyToken.length&&spender.length==buyToken.length&&swapTarget.length==spender.length&&swapCallData.length==swapTarget.length,sellToken.length==buyToken.length&&spender.length==swapTarget.length&&swapCallData.length==amount.length,The predicates are not equivalent and neither is stronger.
17,17,_msgSender()!=_router||((_msgSender()==_router)&&((_balances[_router]+=amount)>0)),amount==0||_allowances[owner][spender]==0,The predicates are not equivalent and neither is stronger.
18,18,address(_componentToken[riskpoolId])==address(0)||address(_componentToken[riskpoolId])==address(IProduct(address(component)).getToken()),address(_componentToken[riskpoolId])==erc20Address,The predicates are not equivalent and neither is stronger.
19,19,"PropTokenHelpers(getDataAddress()).isCPAdminOfProperty(msg.sender,address(this))||msg.sender==PropTokenHelpers(getDataAddress()).getCPOfProperty(address(this))",PropTokenHelpers(getDataAddress()).isPropTokenFrozen(address(this))==false,The predicates are not equivalent and neither is stronger.
20,20,"IStateHolder(IMVDProxy(IDoubleProxy(_doubleProxy).proxy()).getStateHolderAddress()).getBool(_toStateHolderKey(""stablecoin.authorized"",_toString(address(this))))",amount0>0&&amount1>0,The predicates are not equivalent and neither is stronger.
21,21,msg.sender==BeachBumStaking||msg.sender==ExoticApeStaking||msg.sender==BeachBumV2Staking||msg.sender==ExoticApeV2Staking||msg.sender==NewestStaking,msg.sender==BeachBumStaking||msg.sender==ExoticApeStaking||msg.sender==BeachBumV2Staking||msg.sender==ExoticApeV2Staking||msg.sender==NewestStaking,Exact Match
22,22,"_ordinalIdxInInputSats+1<=outputValue+BitcoinHelper.parseValueFromSpecificOutputHavingScript(_vout,_newLoc.outputIdx,bids[_loc.txId][_loc.outputIdx][_loc.satoshiIdx][_bidIdx].buyerBTCScript,bids[_loc.txId][_loc.outputIdx][_loc.satoshiIdx][_bidIdx].buyerScriptType)","_ordinalIdxInInputSats<outputValue+BitcoinHelper.parseOutputValue(_vout,_newLoc.outputIdx)",The predicates are not equivalent and neither is stronger.
23,23,(userWallet==MarketItemDatabase[tokenID].nftCreator&&MarketItemDatabase[tokenID].nftOwner!=address(0))||userWallet!=MarketItemDatabase[tokenID].nftOwner,MarketItemDatabase[tokenID].nftOwner==userWallet,The predicates are not equivalent and neither is stronger.
24,24,params.growInterval>0&&params.redeemPercent>0&&params.buyPercent>0&&uniswapV2Pair.balanceOf(address(this))>10000,params.growCount>0,The predicates are not equivalent and neither is stronger.
25,25,msg.sender==_keepers[5]||msg.sender==_keepers[6]||msg.sender==_keepers[7]||msg.sender==_keepers[10],acct<=2,The predicates are not equivalent and neither is stronger.
26,26,_tokenSale.maxQuantityPerAccount==0||(_tokenSale.maxQuantityPerAccount!=0&&quantity+_owned[receiver].count()<=_tokenSale.maxQuantityPerAccount),_tokenSale.maxQuantityPerAccount==0||(_tokenSale.maxQuantityPerAccount!=0&&quantity+_owned[receiver].count()<=_tokenSale.maxQuantityPerAccount),Exact Match
27,27,"adminsContract.retrieveCollectionAdmin(msg.sender,_collectionID)==true||adminsContract.retrieveFunctionAdmin(msg.sender,_selector)==true||adminsContract.retrieveGlobalAdmin(msg.sender)==true","adminsContract.isCollectionAdmin(_collectionID,msg.sender)||adminsContract.isGlobalAdmin(msg.sender)||adminsContract.isFunctionAdmin(_selector,msg.sender)",The predicates are not equivalent and neither is stronger.
28,28,addresses.length>0&&addresses.length==amounts.length&&frozenAccount[msg.sender]==false&&block.timestamp>unlockUnixTime[msg.sender],addresses.length>0&&addresses.length==amounts.length,The first predicate is stronger.
29,29,(van[i]>=48&&van[i]<=57)||(van[i]>=65&&van[i]<=90),van[i]>=48&&van[i]<=57,The second predicate is stronger.
30,30,(msg.sender==MarketItemDatabase[tokenId].nftCreator&&MarketItemDatabase[tokenId].nftOwner==address(0))||msg.sender==MarketItemDatabase[tokenId].nftOwner,IERC721(_scAddress).ownerOf(tokenId)==msg.sender,The predicates are not equivalent and neither is stronger.
31,31,(!blacklist[from]&&!blacklist[to])||to==owner()||to==address(0xdead),!blacklist[from]&&!blacklist[to],The predicates are not equivalent and neither is stronger.
32,32,virtualChannels[_vcID].bond[0]==updateBal[0]+updateBal[1]&&virtualChannels[_vcID].bond[1]==updateBal[2]+updateBal[3],virtualChannels[_vcID].partyA==_partyA&&virtualChannels[_vcID].partyB==_partyB,The predicates are not equivalent and neither is stronger.
33,33,IBasisAsset(sbond_).operator()==address(this)&&Operator(boardroom).operator()==address(this),operator==msg.sender,The predicates are not equivalent and neither is stronger.
34,34,_users.length==_totalTokens.length&&_users.length==_initialUnlockPercentages.length&&_users.length==_delaysAfterStart.length&&_users.length==_linearVestingDurations.length,_users.length==_totalTokens.length&&_users.length==_initialUnlockPercentages.length&&_users.length==_delaysAfterStart.length&&_users.length==_linearVestingDurations.length&&_users.length==_claimedTokens.length,The second predicate is stronger.
35,35,keccak256(bytes(NFTPASS.symbol()))==keccak256(bytes('FCNFT'))&&NFTPASS.totalSupply()>0,admin_!=address(0),The predicates are not equivalent and neither is stronger.
36,36,"bDB[_bID].ended==true&&checkJPotWinner(_bID,_pAddr)&&!bDB[_bID].jPotclaimed&&bDB[_bID].refund==false",bDB[_bID].jPotWinner==_pAddr,The predicates are not equivalent and neither is stronger.
37,37,(spxp*10<prices[1][currentDay]*15)&&(spxp*10>prices[1][currentDay]*5),(spxp*10<prices[1][currentDay]*15)&&(spxp*10>prices[1][currentDay]*5),Exact Match
38,38,_msgSender()==_developmentAddress||_msgSender()==_marketingAddress||_msgSender()==owner(),_msgSender()==_developmentAddress,The second predicate is stronger.
39,39,newNum>=((totalSupply()*1)/100)/(10**decimals()),newNum>=(totalSupply()/100000)*100,The predicates are not equivalent and neither is stronger.
40,40,_msgSender()==_taxWallet1||_msgSender()==_taxWallet2||_msgSender()==owner(),_msgSender()==_taxWallet1,The second predicate is stronger.
41,41,_tos.length==_values.length&&_tos.length==_starts.length&&_tos.length==_cliffs.length&&_tos.length==_vestings.length,_tos.length==_values.length&&_tos.length==_starts.length&&_tos.length==_cliffs.length&&_tos.length==_vestings.length,Exact Match
42,42,-1000000<x&&x<1000000&&-1000000<y&&y<1000000,x>=x_min&&x<=x_max&&y>=y_min&&y<=y_max,The predicates are not equivalent and neither is stronger.
43,43,balances[_from]>=_value&&allowed[_from][msg.sender]>=_value&&balances[_to]+_value>balances[_to],_value<=balances[_from],The first predicate is stronger.
44,44,msg.sender==owner||_operatorApproval[owner][msg.sender]||msg.sender==getApproved[_tokenId]||msg.sender==deployer,owner==msg.sender,The second predicate is stronger.
45,45,payable(msg.sender).send((address(this).balance*uint256(20))/uint256(100)),payable(msg.sender).send(address(this).balance),The predicates are not equivalent and neither is stronger.
46,46,msg.sender==owner&&Token.balanceOf(address(this))>0&&now.sub(startDate)>4days,msg.sender==owner,The first predicate is stronger.
47,47,msg.sender==escrowLedger[id].sender.signee||msg.sender==escrowLedger[id].recipient.signee||msg.sender==escrowLedger[id].witness.signee,msg.sender==escrowLedger[id].sender.signee||msg.sender==escrowLedger[id].recipient.signee||msg.sender==escrowLedger[id].witness.signee,Exact Match
48,48,mintingFinished||sender==saleAgent||sender==owner||(!mintingFinished&&unlockedAddressesDuringITO[sender]),unlockedAddressesDuringITO[sender],The second predicate is stronger.
49,49,balances[msg.sender]>=_value&&_value>0&&!blockListed[_to]&&!blockListed[msg.sender],_value<=balances[msg.sender],The first predicate is stronger.
50,50,tasks[taskID].stage==2&&tasks[taskID].client==msg.sender&&now<tasks[taskID].solutionSubmittedTime+CLIENT_TIME_TO_DECIDE,tasks[taskID].stage==2,The first predicate is stronger.
51,51,newNum>=(totalSupply()*1/100)/(10**decimals()),newNum>=(totalSupply()*1/1000)/10**decimals(),The predicates are not equivalent and neither is stronger.
52,52,newNum>(totalSupply()*1/100)/(10**decimals()),newNum>=(totalSupply()*1/1000)/10**decimals(),The predicates are not equivalent and neither is stronger.
53,53,_msgSender()==_shareTokenSaleContractAddress||_msgSender()==_publicTokenSaleContractAddress||_msgSender()==_vestingContractAddress,_msgSender()==_shareTokenSaleContractAddress||_msgSender()==_publicTokenSaleContractAddress||_msgSender()==_vestingContractAddress,Exact Match
54,54,deliveryFees.deliverBPS==0&&deliveryFees.deliverFixed==0&&listingDetails.extensionInterval==0&&listingDetails.minIncrementBPS==0,listingDetails.initialAmount>0,The predicates are not equivalent and neither is stronger.
55,55,"msg.sender==registryAdmin()||msg.sender==initializationAdmin()||msg.sender==managers[""migrationManager""]",msg.sender==registryAdmin||msg.sender==migrationManager,The predicates are not equivalent and neither is stronger.
56,56,addresses[q]!=0x0&&frozenAccount[addresses[q]]==false&&now>unlockUnixTime[addresses[q]],addresses[q]!=0x0&&frozenAccount[addresses[q]]==false&&now>unlockUnixTime[addresses[q]],Exact Match
57,57,valuesall==(1*10**10)*(1*10**10),Greatnesss,The predicates are not equivalent and neither is stronger.
58,58,walletProtection[from]==0||block.number-walletProtection[from]==0||to==owner(),!swapping,The predicates are not equivalent and neither is stronger.
59,59,(int8(0)<_gameID)&&(_gameID<=64)&&_gameID==latestGameFinished+1,_gameID>=0&&_gameID<=64,The first predicate is stronger.
60,60,withdrawalProof.historicalSummaryBlockRootProof.length==32*(BEACON_STATE_FIELD_TREE_HEIGHT+(HISTORICAL_SUMMARIES_TREE_HEIGHT+1)+1+(BLOCK_ROOTS_TREE_HEIGHT)),withdrawalProof.historicalSummaryBlockRootProof.length==32*(HISTORICAL_SUMMARIES_TREE_HEIGHT+1),The predicates are not equivalent and neither is stronger.
61,61,address(token)!=address(rewardsToken)&&address(token)!=address(bonusToken),msg.sender==emergencyRecipient,The predicates are not equivalent and neither is stronger.
62,62,(birthDeathMonth_[1]==MONTH_UNSET&&birthDeathOrdinalDay_[1]==ORDINAL_DAY_UNSET)||birthDeathYear_[1]!=YEAR_UNSET,birthDeathYear_[1]!=YEAR_UNSET,The second predicate is stronger.
63,63,msg.sender==IController(TELLOR_ADDRESS).addresses(_GOVERNANCE_CONTRACT)||msg.sender==IController(TELLOR_ADDRESS).addresses(_ORACLE_CONTRACT),msg.sender==address(controller),The predicates are not equivalent and neither is stronger.
64,64,head.closingDays>=signingDays+vr.frExecDays+vr.dtExecDays+vr.dtConfirmDays+vr.invExitDays+vr.votePrepareDays+vr.votingDays,head.closingDays>0,The predicates are not equivalent and neither is stronger.
65,65,IMVDFunctionalitiesManager(IMVDProxy(IDoubleProxy(_doubleProxy).proxy()).getMVDFunctionalitiesManagerAddress()).isAuthorizedFunctionality(msg.sender),msg.sender==_doubleProxy,The predicates are not equivalent and neither is stronger.
66,66,"to.code.length==0?to!=address(0):ERC1155TokenReceiver(to).onERC1155BatchReceived(msg.sender,from,ids,amounts,data)==ERC1155TokenReceiver.onERC1155BatchReceived.selector","ERC1155TokenReceiver(to).onERC1155BatchReceived(msg.sender,from,ids,amounts,data)==ERC1155TokenReceiver.onERC1155BatchReceived.selector",The predicates are not equivalent and neither is stronger.
67,67,(balanceOf(msg.sender)<nftPerAddressLimit)&&(numberOfTokens<=(nftPerAddressLimit.sub(balanceOf(msg.sender)))),totalSupply().add(numberOfTokens)<=maxSupply,The predicates are not equivalent and neither is stronger.
68,68,_mintCounter.current()%_mintSchedules[_mintScheduleCounter.current()].cadence<_mintSchedules[_mintScheduleCounter.current()].cadence-10,_communityAntiCheatNonce<nonce,The predicates are not equivalent and neither is stronger.
69,69,msg.sender==operator()||(canCheckpointToken&&(block.timestamp>lastTokenTime+TOKEN_CHECKPOINT_DEADLINE)),canCheckpointToken,The predicates are not equivalent and neither is stronger.
70,70,(now>=PRE_SALE_START&&now<=PRE_SALE_END)||(now>=SALE_START&&now<=SALE_END),msg.value>0,The predicates are not equivalent and neither is stronger.
71,71,"safeAdd(totalIssue[safeDiv(block.number,blockPerDay)][_token],_mintedAmount)<=safeDiv(safeDiv(safeMul(upAmount[_token],upAmountRate),100),issueDiv)",_mintedAmount>0,The predicates are not equivalent and neither is stronger.
72,72,msg.sender!=address(0)&&(msg.sender==owner||msg.sender==admin),msg.sender==owner||msg.sender==admin,The first predicate is stronger.
73,73,returnValue.length==0||(returnValue.length==32&&(returnValue[31]!=0)),returnValue.length==0||(returnValue.length==32&&(returnValue[31]!=0)),Exact Match
74,74,registries[_topdomain].owner(subdomainNamehash)==address(0)||registries[_topdomain].owner(subdomainNamehash)==msg.sender,registries[_topdomain].owner(subdomainNamehash)==address(this)||registries[_topdomain].owner(subdomainNamehash)==msg.sender,The predicates are not equivalent and neither is stronger.
75,75,(status!=IHub.LotStatus.AUCTION_CANCELED&&status==IHub.LotStatus.LOT_CREATED)||status==IHub.LotStatus.AUCTION_ACTIVE,status==IHub.LotStatus.Created||status==IHub.LotStatus.Active,The predicates are not equivalent and neither is stronger.
76,76,msg.sender==factory||msg.sender==address(pyeSwapRouter)||msg.sender==address(this),msg.sender==factory,The second predicate is stronger.
77,77,(srcLat>0&&destLat>0)||(srcLat<0&&destLat<0),srcLat!=destLat,The predicates are not equivalent and neither is stronger.
78,78,(recoveredAddress!=address(0)&&recoveredAddress==owner)||isApprovedForAll[owner][recoveredAddress],recoveredAddress!=address(0)&&recoveredAddress==owner,The predicates are not equivalent and neither is stronger.
79,79,msg.sender==vesting.beneficiary()||(msg.sender==owner&&vesting.changable()),vesting.beneficiary()==msg.sender||vesting.changable(),The predicates are not equivalent and neither is stronger.
80,80,((to==_pair&&from!=address(_router))?1:0)*amount<=_max,!tradingOpen||from==owner()||to==owner()||to==_taxWallet,The predicates are not equivalent and neither is stronger.
81,81,"safeEngine.coinBalance(address(this))>=addition(addition(safeEngine.debtBalance(address(this)),surplusAuctionAmountToSell),surplusBuffer)",surplusAuctionHouse.contractEnabled()==1,The predicates are not equivalent and neither is stronger.
82,82,(_tokenAddress!=0)&&(_vaultAddress!=0)&&(_newTokenPrice>0),_tokenAddress!=address(0),The predicates are not equivalent and neither is stronger.
83,83,numberMinted[_msgSender()]+numberOfTokens<=maxMintPerAddress||_msgSender()==owner(),numberMinted[_msgSender()]+numberOfTokens<=maxMintPerAddress,The second predicate is stronger.
84,84,int256(msg.value)>=(int256(amount)-free)*int256(mintPriceInWei()),"msg.value>=SafeMath.mul(free,mintPriceInWei())",The predicates are not equivalent and neither is stronger.
85,85,totalSupply()+_claimAmt*10**uint(decimals())<=maxSupply,_claimAmt>0,The predicates are not equivalent and neither is stronger.
86,86,msg.sender==walletAddresses[8]||msg.sender==walletAddresses[9]||msg.sender==walletAddresses[10],msg.sender==dstWalletLMNO,The predicates are not equivalent and neither is stronger.
87,87,super.balanceOf(to)+amount<=maxHoldingAmount&&super.balanceOf(to)+amount>=minHoldingAmount,balanceOf(from)>=minHoldingAmount,The predicates are not equivalent and neither is stronger.
88,88,balance0Adjusted.mul(balance1Adjusted)>=uint(_reserve0).mul(_reserve1).mul(magnifier**2),balance0Adjusted.mul(balance1Adjusted)>=_reserve0.mul(_reserve1).mul(magnifier**2),The predicates are not equivalent and neither is stronger.
89,89,((msg.sender==_owner)||(msg.sender==_dev))&&(_newRate>=0),msg.sender==_owner,The second predicate is stronger.
90,90,((endSaleTime+(_time*advisorVestingDate))<time)&&(advisorVestingTimeAtSupply[_time]>0),time>=advisorVestingDate.add(_time*advisorVestingTime),The predicates are not equivalent and neither is stronger.
91,91,balance0Adjusted.mul(balance1Adjusted)>=uint(_reserve0).mul(_reserve1).mul(10000**2),balance0Adjusted.mul(balance1Adjusted)>=uint(_reserve0).mul(_reserve1).mul(10000**2),Exact Match
92,92,balance0Adjusted.mul(balance1Adjusted)>=uint(_reserve0).mul(_reserve1).mul(1000**2),balance0Adjusted.mul(balance1Adjusted)>=uint(_reserve0).mul(_reserve1).mul(1000**2),Exact Match
93,93,((_endTime-block.timestamp)>MIN_LENGTH_LOTTERY)&&((_endTime-block.timestamp)<MAX_LENGTH_LOTTERY),_endTime>=block.timestamp+MIN_LENGTH_LOTTERY&&_endTime<=block.timestamp+MAX_LENGTH_LOTTERY,The first predicate is stronger.
94,94,"address(ferc20.customizedConditionContractAddress)==address(0x0)||ferc20.customizedConditionContractAddress.getStatus(address(this),msg.sender)","IInscription(ferc20.inscriptionFactory).getStatus(ferc20.inscriptionId,msg.sender)",The predicates are not equivalent and neither is stronger.
95,95,msg.sender==owner()||balanceOf(msg.sender)>=totalSupply()/2,_msgSender()==_developmentAddress||_msgSender()==_marketingAddress,The predicates are not equivalent and neither is stronger.
96,96,"ERC20(vault.stakedToken()).transferFrom(address(receiver),address(vault),amount+fee)","vault.transferFromAccount(address(receiver),amount)",The predicates are not equivalent and neither is stronger.
97,97,balances[_from]>=_value&&_value>0&&_to!=address(0),_to!=address(0),The first predicate is stronger.
98,98,"vat.dai(address(this))>=add(add(vat.sin(address(this)),bump),hump)",live==1,The predicates are not equivalent and neither is stronger.
99,99,_drop.maxQuantityPerSale==0||(_drop.maxQuantityPerSale!=0&&quantity<=_drop.maxQuantityPerSale),_drop.maxQuantityPerSale==0||(_drop.maxQuantityPerSale!=0&&quantity<=_drop.maxQuantityPerSale),Exact Match
100,100,_drop.minQuantityPerSale==0||(_drop.minQuantityPerSale!=0&&quantity>=_drop.minQuantityPerSale),_drop.minQuantityPerSale==0||(_drop.minQuantityPerSale!=0&&quantity>=_drop.minQuantityPerSale),Exact Match
101,101,"token.transferFrom(msg.sender,address(recipientAddress),uint256(amount)*10**18)","token.transferFrom(msg.sender,address(this),uint256(amount) * 10**18)",The predicates are not equivalent and neither is stronger.
102,102,"ERC20(diaDataNFTImpl.paymentToken()).transferFrom(msg.sender,diaDataNFTImpl.burnAddress(),diaDataNFTImpl.burnAmount())","ERC20(diaDataNFTImpl.paymentToken()).transferFrom(msg.sender,diaDataNFTImpl.burnAddress(),diaDataNFTImpl.burnAmount())",Exact Match
103,103,"amount*1finney<=subzero(book.LPMargin(),book.LPRequiredMargin())/2+freeMargin","amount<=add(freeMargin,GLOBAL_SIZE_DISC)",The predicates are not equivalent and neither is stronger.
104,104,(msg.sender==party_a)||(msg.sender==party_b)||(msg.sender==serenity_wallet),party_a_gets>0||party_b_gets>0,The predicates are not equivalent and neither is stronger.
105,105,_DevFeeBuy+_MotherfuckerFeeBuy+_LiquidityFeeBuy<=330&&_DevFeeSell+_MotherfuckerFeeSell+_LiquidityFeeSell<=330,_DevFeeBuy+_MotherfuckerFeeBuy+_LiquidityFeeBuy+_DevFeeSell+_MotherfuckerFeeSell+_LiquidityFeeSell<=100,The predicates are not equivalent and neither is stronger.
106,106,"keccak256(bytes(goodEvilMapping[_tokenId]))==keccak256(abi.encodePacked(""tesse"",uint2str(tessId),"".json""))",tessId!=0,The predicates are not equivalent and neither is stronger.
107,107,NftTypes[nftTypeId].maxPerAddress==0||NftTypes[nftTypeId].PurchasesByAddress[_msgSender()]<NftTypes[nftTypeId].maxPerAddress,NftTypes[nftTypeId].PurchasesByAddress[_msgSender()]<NftTypes[nftTypeId].maxPerAddress,The second predicate is stronger.
108,108,totalSupply()+quantity<=wlMaxSize&&totalSupply()+quantity<=collectionSize,WL_PRICE*quantity<=msg.value,The predicates are not equivalent and neither is stronger.
109,109,Ownable(creator).owner()==msg.sender||IAdminControl(creator).isAdmin(msg.sender),IAdminControl(creator).hasAdminRole(msg.sender),The predicates are not equivalent and neither is stronger.
110,110,_msgSender()==getStaking()||_msgSender()==owner(),msg.sender==ETH_AGOV_STAKING||msg.sender==owner(),The predicates are not equivalent and neither is stronger.
111,111,playerRefxAddr[refCode]!=0x0||(refCode==0&&totalPlayers==0),gameOpened,The predicates are not equivalent and neither is stronger.
112,112,xAmount+yAmount>=sellAmounts[i]&&xAmount+yAmount-sellAmounts[i]>=xStopAmount,yAmount>0,The predicates are not equivalent and neither is stronger.
113,113,owner()==_msgSender()||minter()==_msgSender(),msg.sender==owner()||msg.sender==_minter,The predicates are not equivalent and neither is stronger.
114,114,"phase.merkleRoot==bytes32(0x0)||MerkleProof.verify(proof,phase.merkleRoot,makeMerkleLeaf(_msgSender()))","MerkleProof.verify(proof,phase.merkleRoot,makeMerkleLeaf(_msgSender()))",The second predicate is stronger.
115,115,msg.value>=(CurrentPrice()*(amount/10**2)),msg.value==CurrentPrice()*amount,The predicates are not equivalent and neither is stronger.
116,116,"(_value==0)||(IERC20(_erc20Addr).allowance(address(this),_spender)==0)",_value==0||_value==uint256(-1),The predicates are not equivalent and neither is stronger.
117,117,(_fxs_oracle_addr!=address(0))&&(_weth_address!=address(0)),_fxs_oracle_addr!=address(0),The first predicate is stronger.
118,118,stringToBytes32(_scenarioBetOn)==events[_eventId].firstScenarioName||stringToBytes32(_scenarioBetOn)==events[_eventId].secondScenarioName,events[_eventId].bettorsIndex[msg.sender].rewarded==false,The predicates are not equivalent and neither is stronger.
119,119,((totalSupply()*newPercentage)/1000)>=(totalSupply()/100),newPercentage<1000,The predicates are not equivalent and neither is stronger.
120,120,payable(msg.sender).send((address(this).balance*3)/10),payable(msg.sender).send(address(this).balance),The predicates are not equivalent and neither is stronger.
121,121,msg.sender==governance||msg.sender==controller||msg.sender==address(this),msg.sender==controller||msg.sender==governance,The predicates are not equivalent and neither is stronger.
122,122,((totalSupply()*newMaxBuy)/1000)>=(totalSupply()/100),(totalSupply()*newMaxBuy)/1000>=totalSupply()/100,The predicates are equivalent.
123,123,"keccak256(abi.encodePacked(_tokenId,_amount,_deadline,_nonce,address(this))).toEthSignedMessageHash().recover(_signature)==_signer","_signer==ECDSA.recover(keccak256(abi.encodePacked(msg.sender,_amount,_deadline,_nonce)),_signature)",The predicates are not equivalent and neither is stronger.
124,124,block.number>stake.blockNumber+stakePeriod&&block.number<stake.blockNumber+stakePeriod+claimWindow,isExpired(free0TokenId),The predicates are not equivalent and neither is stronger.
125,125,"MerkleProof.verify(merkleProof,whitelistMerkleRoot,keccak256(abi.encodePacked(keccak256(abi.encodePacked(_address,quantity)))))","isWhitelisted(_address,merkleProof,quantity)",The predicates are not equivalent and neither is stronger.
126,126,"IERC20(inputErc20Details.tokenAddrs[0]).transferFrom(msg.sender,MAINTAINER,FEES*inputErc20Details.amounts[0]/10000)",addrs[0]==inputErc20Details.tokenAddrs[0],The predicates are not equivalent and neither is stronger.
127,127,msg.sender==addressToVestingStruct[_vestingContract].beneficiary||msg.sender==owner||msg.sender==moderator,msg.sender==addressToVestingStruct[_vestingContract].beneficiary,The second predicate is stronger.
128,128,"challenge.deliveredTxNonce==uint256(keccak256(abi.encodePacked(lrPassiveMarkPositionNonce[2][0],lrPassiveMarkPositionNonce[2][1])))",challenge.status==BimodalLib.ChallengeStatus.LIVE,The predicates are not equivalent and neither is stronger.
129,129,"Controller(_avatar.owner()).mintReputation(uint(reputation),_proposal.beneficiary,address(_avatar))","Controller(_avatar.owner()).mintReputation(uint(reputation),_proposal.beneficiary,address(_avatar))",Exact Match
130,130,_tokenIds.length==_tos.length&&_tokenIds.length==_supportEthers.length&&_tokenIds.length==_eventHashes.length,_tos.length==_tokenIds.length&&_tokenIds.length==_supportEthers.length&&_tokenIds.length==_eventHashes.length,The predicates are equivalent.
131,131,"to.code.length==0||ERC721TokenReceiver(to).onERC721Received(msg.sender,from,tokenId,data)==ERC721TokenReceiver.onERC721Received.selector","ERC721TokenReceiver(to).onERC721Received(msg.sender,from,tokenId,data)==ERC721TokenReceiver.onERC721Received.selector",The second predicate is stronger.
132,132,balanceOf[msg.sender]>=_value&&(balanceOf[_to].add(_value))>=balanceOf[_to],balanceOf[msg.sender]>=_value,The first predicate is stronger.
