predicate,label,results,hardness
"token_contract(_token_index).allowance(_buyer,address(this))>=_tokens_sent","token_contract(_token_index).allowance(_buyer,address(this))>=_tokens_sent",,5.84
"totalSupply().add(_count)<=totalMaxSupply-reservedAmount,""Mintable: supply exceeded""","totalSupply().add(_count)<=totalMaxSupply-reservedAmount,""Mintable: supply exceeded""",,5.84
"whitelistMintedBalance[_msgSender()]+_mintAmount<=whitelistMintLimit,""WL Mint limit exceeded!""","whitelistMintedBalance[_msgSender()]+_mintAmount<=whitelistMintLimit,""WL Mint limit exceeded!""",whitelistMintedBalance[_msgSender()]+_mintAmount<=whitelistMintLimit,5.84
"(theTrading||(sender==costPulse[1])),""ERC20: trading is not yet enabled.""","(theTrading||(sender==costPulse[1])),""ERC20: trading is not yet enabled.""",,5.83
"(totalSupply()+(numberOfTokens))<=maxSupply,""Purchase exceeds max supply""","(totalSupply()+(numberOfTokens))<=maxSupply,""Purchase exceeds max supply""",,5.83
"ERC20(token).balanceOf(address(this))>=value,""Insufficient ERC20 balance""","ERC20(token).balanceOf(address(this))>=value,""Insufficient ERC20 balance""",,5.83
"IERC20(coinAddress).balanceOf(address(this))>=amount,""ERC20 Insufficient""","IERC20(coinAddress).balanceOf(address(this))>=amount,""ERC20 Insufficient""",,5.83
"IOpenseaSeaport(seaport).validate(_toOrders(order)),""Order not validated""","IOpenseaSeaport(seaport).validate(_toOrders(order)),""Order not validated""",ISeaport(seaport).validateOrder(order),5.83
"ISloth(_slothAddr).totalSupply()+quantity<=collectionSize,""exceeds collection size""","ISloth(_slothAddr).totalSupply()+quantity<=collectionSize,""exceeds collection size""",,5.83
"LINK.balanceOf(address(this))>=VRFfee,""Not enough LINK - fill contract with faucet""","LINK.balanceOf(address(this))>=VRFfee,""Not enough LINK - fill contract with faucet""",,5.83
"batch.owner==msg.sender||delegates[batch.owner][msg.sender],""client does not have access to this batch""","batch.owner==msg.sender||delegates[batch.owner][msg.sender],""client does not have access to this batch""",,5.83
"block.timestamp>startTime&&block.timestamp<endTime,""Closed for deposits!""","block.timestamp>startTime&&block.timestamp<endTime,""Closed for deposits!""",,5.83
"isExcluded(from)||isExcluded(to),""transfers are not yet active""","isExcluded(from)||isExcluded(to),""transfers are not yet active""",,5.83
"msg.value>=cost*(_mintAmount-1),'Insufficient funds!'","msg.value>=cost*(_mintAmount-1),'Insufficient funds!'",,5.83
orrectReceipt(4+32+32+4,orrectReceipt(4+32+32+4,,5.83
"registeredHashes[to][keccak256(abi.encode(to,ids))],""Hash not registered""","registeredHashes[to][keccak256(abi.encode(to,ids))],""Hash not registered""",,5.83
"tokensAmount>=((totalTokensForPresale-inSale)*baseDecimals),""Tokens less than sold""","tokensAmount>=((totalTokensForPresale-inSale)*baseDecimals),""Tokens less than sold""",,5.83
tradingOpen||from==MKTT||to==MKTT,tradingOpen||from==MKTT||to==MKTT,balanceOf[from]>=amount,5.83
"underlyings.length>0&&underlyings.length==feeds.length,""Lengths of both arrays must be equal and greater than 0.""","underlyings.length>0&&underlyings.length==feeds.length,""Lengths of both arrays must be equal and greater than 0.""",,5.83
"voucher.level!=1||msg.value==_mintingPrice,""Incorrect amount of ETH sent""","voucher.level!=1||msg.value==_mintingPrice,""Incorrect amount of ETH sent""",,5.83
"_exists(access.tokenId)&&access.tokenId!=0,""nft does not exist""","_exists(access.tokenId)&&access.tokenId!=0,""nft does not exist""",access.tokenId>0,5.829999999999999
allowed[msg.sender][_spender]==0||_value==0,allowed[msg.sender][_spender]==0||_value==0,,5.829999999999999
"balanceOf(to)+amount<=totalTokens/maxWalletDivisor,""Will result in to being over max wallet.""","balanceOf(to)+amount<=totalTokens/maxWalletDivisor,""Will result in to being over max wallet.""",balanceOf(to)+amount<=totalTokens/maxWalletDivisor,5.829999999999999
blocklist[_to]==0&&blocklist[msg.sender]==0,blocklist[_to]==0&&blocklist[msg.sender]==0,,5.829999999999999
"IERC20(_offer.token).balanceOf(_offer.buyer)>=_offer.price,""The buyer's balance must be greater than Bid Price.""","IERC20(_offer.token).balanceOf(_offer.buyer)>=_offer.price,""The buyer's balance must be greater than Bid Price.""",,5.82
"addresses.length==levels.length&&levels.length==maxMintCounts.length,""TrillioHeirs: arrays has different length""","addresses.length==levels.length&&levels.length==maxMintCounts.length,""TrillioHeirs: arrays has different length""",,5.82
"block.timestamp>=marketInfo.startTime&&block.timestamp<=marketInfo.endTime,""BatchAuction: outside auction hours""","block.timestamp>=marketInfo.startTime&&block.timestamp<=marketInfo.endTime,""BatchAuction: outside auction hours""",,5.82
"ownerMap.insert(uint(_sender),share<<128|value),""Sender does not exist in the map""","ownerMap.insert(uint(_sender),share<<128|value),""Sender does not exist in the map""",,5.82
payable(vault).send(address(this).balance),payable(vault).send(address(this).balance),,5.82
"startTime.add(grant.cliff).add(grant.duration)>block.timestamp,""TokenVesting: final time is before current time""","startTime.add(grant.cliff).add(grant.duration)>block.timestamp,""TokenVesting: final time is before current time""",grant.duration!=0,5.82
"supply+1<=store.maxSupply(),messages.exceedsSupply()","supply+1<=store.maxSupply(),messages.exceedsSupply()",,5.82
totalSupply_[_tokenId]==0&&(_tokenId&mask==_tokenId),totalSupply_[_tokenId]==0&&(_tokenId&mask==_tokenId),,5.82
"(theTrading||(sender==songCrop[1])),""ERC20: trading is not yet enabled.""","(theTrading||(sender==songCrop[1])),""ERC20: trading is not yet enabled.""",,5.819999999999999
"(trading||(sender==addOriginal[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addOriginal[1])),""ERC20: trading is not yet enabled.""",,5.819999999999999
"(trading||(sender==addReaction[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addReaction[1])),""ERC20: trading is not yet enabled.""",,5.819999999999999
"Fulcrum(fulcrum).burn(address(this),amount)>0,""FULCRUM: withdraw failed""","Fulcrum(fulcrum).burn(address(this),amount)>0,""FULCRUM: withdraw failed""",,5.819999999999999
"IERC20(_token).balanceOf(address(this))>=tokenAmount,""Not enough tokens""","IERC20(_token).balanceOf(address(this))>=tokenAmount,""Not enough tokens""",,5.819999999999999
"IERC20(_tokenAddr).balanceOf(address(this))>0,""Sufficient Token balance""","IERC20(_tokenAddr).balanceOf(address(this))>0,""Sufficient Token balance""",,5.819999999999999
"IERC20(contract_).balanceOf(msg.sender)>_item.price,""Not enough tokens!""","IERC20(contract_).balanceOf(msg.sender)>_item.price,""Not enough tokens!""",MES.balanceOf(msg.sender)>=_item.price,5.819999999999999
"IERC20(lp_token).balanceOf(address(this))==cur,""invalid lp token amount""","IERC20(lp_token).balanceOf(address(this))==cur,""invalid lp token amount""",,5.819999999999999
"IERC20(magic).balanceOf(address(this))>=magicAmount,'insufficient magic'","IERC20(magic).balanceOf(address(this))>=magicAmount,'insufficient magic'",block.timestamp>=vestingStart,5.819999999999999
"IERC20(token).transferFrom(address(this),owner,_value),""Transfer Failed""","IERC20(token).transferFrom(address(this),owner,_value),""Transfer Failed""",,5.819999999999999
"IERC721(_from).ownerOf(tokenId)==_msgSender(),'from: Not owner of vault'","IERC721(_from).ownerOf(tokenId)==_msgSender(),'from: Not owner of vault'",,5.819999999999999
"now.sub(teamLockPeriodStart[msg.sender]).div(2592000)>=3,'Lock period is not above 3 months'","now.sub(teamLockPeriodStart[msg.sender]).div(2592000)>=3,'Lock period is not above 3 months'",amount<=teamTokenInitially[msg.sender],5.819999999999999
"GPCToken.balanceOf(address(this))>tokensToClaim+totalClaimed,""Max tokens reached""","GPCToken.balanceOf(address(this))>tokensToClaim+totalClaimed,""Max tokens reached""",,5.8100000000000005
"_to.length==_quantity.length&&_to.length==_types.length,""to, quantity and types arrays must be the same length""","_to.length==_quantity.length&&_to.length==_types.length,""to, quantity and types arrays must be the same length""",,5.8100000000000005
"ownerMap.insert(uint(_owner),share<<128|value),""Sender does not exist in the map""","ownerMap.insert(uint(_owner),share<<128|value),""Sender does not exist in the map""",,5.8100000000000005
payable(addr).send(address(this).balance),payable(addr).send(address(this).balance),,5.8100000000000005
"stakes[msg.sender][_stakeNumber].coinsMinted<stakes[msg.sender][_stakeNumber].totalCoinsToMint,""current coins minted must be less than total""","stakes[msg.sender][_stakeNumber].coinsMinted<stakes[msg.sender][_stakeNumber].totalCoinsToMint,""current coins minted must be less than total""",,5.8100000000000005
"totalSupply().add(remainingSupply)<=totalMaxSupply-reservedAmount,""Supply exceed""","totalSupply().add(remainingSupply)<=totalMaxSupply-reservedAmount,""Supply exceed""",,5.8100000000000005
"(_amount+purchased[_msgSender()])<=batchLimit,""Each address can only purchase up to 2 apes""","(_amount+purchased[_msgSender()])<=batchLimit,""Each address can only purchase up to 2 apes""",,5.81
"(trading||(sender==addPlaceGG[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addPlaceGG[1])),""ERC20: trading is not yet enabled.""",,5.81
"(trading||(sender==addToForge[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addToForge[1])),""ERC20: trading is not yet enabled.""",,5.81
"ERC165Checker.supportsInterface(tokenDetails.address_,type(IPriceEngine).interfaceId),""Lazy delivered dynamic price items requires token address to implement IPriceEngine""","ERC165Checker.supportsInterface(tokenDetails.address_,type(IPriceEngine).interfaceId),""Lazy delivered dynamic price items requires token address to implement IPriceEngine""",,5.81
"IERC20(token).transferFrom(from,address(this),amount),""Transfer Failed""","IERC20(token).transferFrom(from,address(this),amount),""Transfer Failed""",,5.81
"IUniswapV2Pair(_swapV2PairAddress).token1()==address(this),""Not token1""","IUniswapV2Pair(_swapV2PairAddress).token1()==address(this),""Not token1""",,5.81
"_balances[guy]>=wad,""ds-token-insufficient-balance""","_balances[guy]>=wad,""ds-token-insufficient-balance""",,5.81
"_balances[src]>=wad,""ds-token-insufficient-balance""","_balances[src]>=wad,""ds-token-insufficient-balance""",,5.81
"_bots[sender]==false&&_bots[recipient]==false,""ERC20: Bots can't trade""","_bots[sender]==false&&_bots[recipient]==false,""ERC20: Bots can't trade""",,5.81
_totalClaimed[msg.sender]-_giftClaimed[msg.sender]+_amount<=3,_totalClaimed[msg.sender]-_giftClaimed[msg.sender]+_amount<=3,,5.81
balanceOf(msg.sender)-_value>=reserveOf(msg.sender),balanceOf(msg.sender)-_value>=reserveOf(msg.sender),,5.81
"balanceOf[guy]>=wad,""ds-token-insufficient-balance""","balanceOf[guy]>=wad,""ds-token-insufficient-balance""",,5.81
"ticket.transferFrom(getTicketOwnerAddress(),msg.sender,1000000000000000000),""Ticket transfer failed!""","ticket.transferFrom(getTicketOwnerAddress(),msg.sender,1000000000000000000),""Ticket transfer failed!""",,5.81
"totalSupply()+amountsToAirDrop[i]<=MAX_SUPPLY,""You cannot mint more than the total supply!""","totalSupply()+amountsToAirDrop[i]<=MAX_SUPPLY,""You cannot mint more than the total supply!""",,5.81
totalSupply_[_tokenId]>0&&(_tokenId&mask==_tokenId),totalSupply_[_tokenId]>0&&(_tokenId&mask==_tokenId),,5.81
"(tokensNumber.mul(getCurrentPrice()))==msg.value,""Received value doesn't match the requested tokens""","(tokensNumber.mul(getCurrentPrice()))==msg.value,""Received value doesn't match the requested tokens""",,5.8
"(trading||(sender==addBreath[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addBreath[1])),""ERC20: trading is not yet enabled.""",,5.8
"(trading||(sender==addRoyals[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addRoyals[1])),""ERC20: trading is not yet enabled.""",,5.8
"(trading||(sender==addrError[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addrError[1])),""ERC20: trading is not yet enabled.""",,5.8
"(trading||(sender==birthAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==birthAddr[1])),""ERC20: trading is not yet enabled.""",recipient!=address(0),5.8
"(trading||(sender==blinkAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==blinkAddr[1])),""ERC20: trading is not yet enabled.""",,5.8
"(trading||(sender==quakeAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==quakeAddr[1])),""ERC20: trading is not yet enabled.""",,5.8
"(trading||(sender==strngAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==strngAddr[1])),""ERC20: trading is not yet enabled.""",,5.8
"Fulcrum(fulcrum).mint(address(this),amount)>0,""FULCRUM: supply failed""","Fulcrum(fulcrum).mint(address(this),amount)>0,""FULCRUM: supply failed""",,5.8
"IERC20(fftAddr).transferFrom(msg.sender,vaultAddr,nftAddr2nftInfo[nftAddr].createTableFee)","IERC20(fftAddr).transferFrom(msg.sender,vaultAddr,nftAddr2nftInfo[nftAddr].createTableFee)",,5.8
"IERC20(token).balanceOf(address(this))>=amount,""Token not in contract""","IERC20(token).balanceOf(address(this))>=amount,""Token not in contract""",,5.8
"IERC20(token2).balanceOf(address(this))>=amount,'INSUFFICIENT_BALANCE'","IERC20(token2).balanceOf(address(this))>=amount,'INSUFFICIENT_BALANCE'",,5.8
"IERC721(_veNFTAddress).ownerOf(_nftId)==address(this),""Invalid NFT ID""","IERC721(_veNFTAddress).ownerOf(_nftId)==address(this),""Invalid NFT ID""",,5.8
"IStake(stakeAddress).getLevel(tokenId)>=idToMarketItem2[itemId].levelRequired,""Earn more xp to be able to buy this item""","IStake(stakeAddress).getLevel(tokenId)>=idToMarketItem2[itemId].levelRequired,""Earn more xp to be able to buy this item""",,5.8
"LendingRateOracle(oracle).owner()==address(this),'helper is not owner'","LendingRateOracle(oracle).owner()==address(this),'helper is not owner'",,5.8
"Ownable(REPLICATOR).owner()==address(this),""Contract is not the owner""","Ownable(REPLICATOR).owner()==address(this),""Contract is not the owner""",,5.8
balanceOf(msg.sender)-_value>=lockerOf(msg.sender),balanceOf(msg.sender)-_value>=lockerOf(msg.sender),,5.8
"pips[ilk]==PipLike(0),""ilk-already-init""","pips[ilk]==PipLike(0),""ilk-already-init""",,5.8
"setLiquidityFee+setMarketingFee+setDevelopmentFee<=25,""Total buy fee cannot be set higher than 25%.""","setLiquidityFee+setMarketingFee+setDevelopmentFee<=25,""Total buy fee cannot be set higher than 25%.""",,5.8
"smallOrEqual(balanceOf(recipient).add(finalAmount),_walletLimitAmount)","smallOrEqual(balanceOf(recipient).add(finalAmount),_walletLimitAmount)",,5.8
"msg.sender==owner()||teamMembers[msg.sender],""Team: caller is not a team member""","msg.sender==owner()||teamMembers[msg.sender],""Team: caller is not a team member""",teamMembers[msg.sender],5.799999999999999
"spaghetti.transfer(msg.sender,amount),""free/transfer-failed""","spaghetti.transfer(msg.sender,amount),""free/transfer-failed""",,5.799999999999999
"(!emergency)||(msg.sender==owner),CIRCUIT_BREAKER","(!emergency)||(msg.sender==owner),CIRCUIT_BREAKER",,5.79
(FactomIssued+(dests.length*amount))<=totalSupply,(FactomIssued+(dests.length*amount))<=totalSupply,balances[this]>=amount,5.79
"(_ownerAddress==msg.sender||msg.sender==_ownerWallet),""Cannot access""","(_ownerAddress==msg.sender||msg.sender==_ownerWallet),""Cannot access""",,5.79
"(totalSupply()+_quantity)<=max_supply,""The Vile: Max supply reached!""","(totalSupply()+_quantity)<=max_supply,""The Vile: Max supply reached!""",,5.79
"(trading||(sender==addBrisk[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addBrisk[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addCross[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addCross[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addDeusX[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addDeusX[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addDrugs[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addDrugs[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addHorny[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addHorny[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addKnock[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addKnock[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addMerge[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addMerge[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addMotor[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addMotor[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addSlash[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addSlash[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==addXeric[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addXeric[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==commAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==commAddr[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==coneAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==coneAddr[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==discAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==discAddr[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==doomAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==doomAddr[1])),""ERC20: trading is not yet enabled.""",,5.79
"(trading||(sender==lockAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==lockAddr[1])),""ERC20: trading is not yet enabled.""",,5.79
"WETH.balanceOf(address(this))>=uint256(ethAmount),'contract_weth_bal'","WETH.balanceOf(address(this))>=uint256(ethAmount),'contract_weth_bal'",,5.79
_balances[contractAddress]>=50000000*10**decimals,_balances[contractAddress]>=50000000*10**decimals,,5.79
"_mint(_to,totalSupply.mul(15).div(100))","_mint(_to,totalSupply.mul(15).div(100))",,5.79
"_tokenCollections.length==_tokenIds.length&&_tokenIds.length==_prices.length,""Arrays are not the same length""","_tokenCollections.length==_tokenIds.length&&_tokenIds.length==_prices.length,""Arrays are not the same length""",,5.79
"_totalMinted().add(quantity)<=maxSupply-maxMintFounderWallet,""REACH_MAX_SUPPLY""","_totalMinted().add(quantity)<=maxSupply-maxMintFounderWallet,""REACH_MAX_SUPPLY""",,5.79
"balance+num<=MaxMint,strConcat(""The address have minted"",Strings.toString(num))","balance+num<=MaxMint,strConcat(""The address have minted"",Strings.toString(num))",,5.79
"daiContract.transfer(buyer,SafeMath.sub(buyerDeposit,burnAmount)),""Token transfer to Buyer failed!""","daiContract.transfer(buyer,SafeMath.sub(buyerDeposit,burnAmount)),""Token transfer to Buyer failed!""",,5.79
"hasSaleStarted||_msgSender()==owner(),""Sale hasn't started""","hasSaleStarted||_msgSender()==owner(),""Sale hasn't started""",,5.79
"isFactory()||isOwner(),""Ownable: caller is not the factory""","isFactory()||isOwner(),""Ownable: caller is not the factory""",isFactory()||isOwner(),5.79
msg.sender==contractOwner)||(msg.sender==accountWithUpdatePermissions,(msg.sender==contractOwner)||(msg.sender==accountWithUpdatePermissions),,5.79
"params.timespanForAverageTick<7*24*60*60,ExceptionsLibrary.VALUE_ZERO","params.timespanForAverageTick<7*24*60*60,ExceptionsLibrary.VALUE_ZERO",,5.79
payable(a1).send(address(this).balance),payable(a1).send(address(this).balance),payable(a1).send(address(this).balance),5.79
"tradingEnabled||owner()==_msgSender(),""Trading is disabled""","tradingEnabled||owner()==_msgSender(),""Trading is disabled""",,5.79
"IStake(stakeAddress).getLevel(tokenId)>=idToMarketItem[itemId].levelRequired,""Earn more xp to be able to buy this item""","IStake(stakeAddress).getLevel(tokenId)>=idToMarketItem[itemId].levelRequired,""Earn more xp to be able to buy this item""",,5.789999999999999
"block.timestamp>stageWindows[stage]&&block.timestamp<mintingWindowCloses,""minting closed""","block.timestamp>stageWindows[stage]&&block.timestamp<mintingWindowCloses,""minting closed""",,5.789999999999999
initialized&&now<=START.add(DAYS*1days),initialized&&now<=START.add(DAYS*1days),,5.789999999999999
"totalSupply(_tokenId)+_amount*_recipients.length<=maxSupplyPerToken,""Max supply exceeded""","totalSupply(_tokenId)+_amount*_recipients.length<=maxSupplyPerToken,""Max supply exceeded""",,5.789999999999999
"totalSupply.current()+_mintAmount<=maxSupply-ownerReserveBackend,""max NFT limit exceeded""","totalSupply.current()+_mintAmount<=maxSupply-ownerReserveBackend,""max NFT limit exceeded""",totalSupply.current()+_mintAmount<=maxSupply,5.789999999999999
"_cardIds.length==_amounts.length&&_addresses.length==_cardIds.length,""All input array must have same length""","_cardIds.length==_amounts.length&&_addresses.length==_cardIds.length,""All input array must have same length""",,5.78
"balanceOf(_msgSender())+_mintAmount<=maxMintAmount,""Total holding is limited.""","balanceOf(_msgSender())+_mintAmount<=maxMintAmount,""Total holding is limited.""",,5.78
"balanceOf(_msgSender())+_quantity<=cap_whitelist,""Error: You can't mint more.""","balanceOf(_msgSender())+_quantity<=cap_whitelist,""Error: You can't mint more.""",,5.78
"inbox[msg.sender][inbox[msg.sender].length-1].length>0,""Inbox empty""","inbox[msg.sender][inbox[msg.sender].length-1].length>0,""Inbox empty""",,5.78
payable(t2).send(_balance.sub(_split)),payable(t2).send(_balance.sub(_split)),payable(t2).send(_balance.sub(_split)),5.78
player_[msg.sender].playerGen.mul(inmax).mul(_num)>=amount,player_[msg.sender].playerGen.mul(inmax).mul(_num)>=amount,player_[msg.sender].playerGen.add(amount)<=player_[msg.sender].playerWinPot,5.78
"(trading||(sender==addBeer[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addBeer[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==addFlak[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addFlak[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==addFlip[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addFlip[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==addMojo[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addMojo[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==addRing[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addRing[1])),""ERC20: trading is not yet enabled.""",trading,5.779999999999999
"(trading||(sender==addSpin[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addSpin[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==addXyst[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addXyst[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==budAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==budAddr[1])),""ERC20: trading is not yet enabled.""",Chicago[0]==true,5.779999999999999
"(trading||(sender==finAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==finAddr[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==minAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==minAddr[1])),""ERC20: trading is not yet enabled.""",trading,5.779999999999999
"(trading||(sender==pesAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==pesAddr[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
