,original_index,ground_truth,synthesized,result
37,37,_allowances[from][spender]>=amount,,The predicates are not equivalent and neither is stronger.
38,38,_balances[from]>=amount,,The predicates are not equivalent and neither is stronger.
39,39,to!=address(0),,The predicates are not equivalent and neither is stronger.
40,40,from!=address(0),,The predicates are not equivalent and neither is stronger.
41,41,c>=a,,The predicates are not equivalent and neither is stronger.
42,42,b<=a,,The predicates are not equivalent and neither is stronger.
43,43,c/a==b,,The predicates are not equivalent and neither is stronger.
44,44,b>0,,The predicates are not equivalent and neither is stronger.
45,45,b!=0,,The predicates are not equivalent and neither is stronger.
46,46,address(this).balance>=amount,,The predicates are not equivalent and neither is stronger.
47,47,success,,The predicates are not equivalent and neither is stronger.
48,48,address(this).balance>=value,,The predicates are not equivalent and neither is stronger.
49,49,isContract(target),,The predicates are not equivalent and neither is stronger.
50,50,_owner==_msgSender(),,The predicates are not equivalent and neither is stronger.
51,51,owner!=address(0),,The predicates are not equivalent and neither is stronger.
52,52,spender!=address(0),,The predicates are not equivalent and neither is stronger.
53,53,from!=address(0),,The predicates are not equivalent and neither is stronger.
54,54,to!=address(0),,The predicates are not equivalent and neither is stronger.
55,55,amount>0,,The predicates are not equivalent and neither is stronger.
56,56,amount<=txLimitAmount,,The predicates are not equivalent and neither is stronger.
57,57,!blacklist[from]&&!blacklist[to],,The predicates are not equivalent and neither is stronger.
58,58,_buyInfo[from]==0||_buyInfo[from].add(_timeLimitFromLastBuy)<now,,The predicates are not equivalent and neither is stronger.
59,59,balanceOf(to)<=txLimitAmount,,The predicates are not equivalent and neither is stronger.
60,60,percentForTxLimit>=1,,The predicates are not equivalent and neither is stronger.
61,61,c>=a,c>=a,Exact Match
62,62,b<=a,b<=a,Exact Match
63,63,a==0||c/a==b,a==0||c/a==b,Exact Match
64,64,b>0,b>0,Exact Match
65,65,address(this).balance>=amount,address(this).balance>=amount,Exact Match
66,66,success,success,Exact Match
67,67,"(value==0)||(token.allowance(address(this),spender)==0)","(value==0)||(token.allowance(address(this),spender)==0)",Exact Match
68,68,address(token).isContract(),address(token).isContract(),Exact Match
69,69,success,success,Exact Match
70,70,"abi.decode(returndata,(bool))","abi.decode(returndata,(bool))",Exact Match
71,71,_contract_owner==msg.sender,_contract_owner==msg.sender,Exact Match
72,72,newOwner!=address(0),newOwner!=address(0),Exact Match
73,73,_new_amount>0,_new_amount>0,Exact Match
74,74,amount>=minimum_amount,amount>0,The predicates are not equivalent and neither is stronger.
75,75,amount<=ERC20TokenBankInterface(from_bank).balance(),usdc.balanceOf(address(this))==0,The predicates are not equivalent and neither is stronger.
76,76,c>=a,,The predicates are not equivalent and neither is stronger.
77,77,b<=a,"b<=a,errorMessage",The predicates are equivalent.
78,78,c/a==b,c/a==b,Exact Match
79,79,b>0,"b>0,errorMessage",The predicates are equivalent.
80,80,_owner==_msgSender(),_owner==_msgSender(),Exact Match
81,81,owner!=address(0),owner!=address(0),Exact Match
82,82,spender!=address(0),spender!=address(0),Exact Match
83,83,from!=address(0),from!=address(0),Exact Match
84,84,to!=address(0),to!=address(0),Exact Match
85,85,amount>0,amount>0,Exact Match
86,86,!bots[from]&&!bots[to],!bots[from]&&!bots[to]&&!isContract(to)&&!isContract(from),The second predicate is stronger.
87,87,amount<=_maxTxAmount,amount<=_taxSwapThreshold,The predicates are not equivalent and neither is stronger.
88,88,balanceOf(to)+amount<=_maxWalletSize,balanceOf(to)+amount<=_maxWalletSize,Exact Match
89,89,!isContract(to),amount<=_taxSwapThreshold,The predicates are not equivalent and neither is stronger.
90,90,balanceOf(to)+amount<=_maxWalletSize,amount<=_maxTxAmount,The predicates are not equivalent and neither is stronger.
91,91,!tradingOpen,!tradingOpen,Exact Match
92,92,c>=a,c>=a,Exact Match
93,93,b<=a,"b<=a,errorMessage",The predicates are equivalent.
94,94,c/a==b,c/a==b,Exact Match
95,95,b>0,"b>0,errorMessage",The predicates are equivalent.
96,96,_owner==_msgSender(),_owner==_msgSender(),Exact Match
97,97,owner!=address(0),owner!=address(0),Exact Match
98,98,spender!=address(0),spender!=address(0),Exact Match
99,99,from!=address(0),from!=address(0),Exact Match
100,100,to!=address(0),to!=address(0),Exact Match
101,101,amount>0,amount>0,Exact Match
102,102,!bots[from]&&!bots[to],!bots[from]&&!bots[to]&&!isBot(from)&&!isBot(to),The second predicate is stronger.
103,103,amount<=_maxTxAmount,amount<=_maxTxAmount,Exact Match
104,104,balanceOf(to)+amount<=_maxWalletSize,balanceOf(to).add(amount)<=_maxWalletSize,The predicates are not equivalent and neither is stronger.
105,105,sellCount<3,sellCount<=_maxTaxSwap,The predicates are not equivalent and neither is stronger.
106,106,!tradingOpen,!tradingOpen,Exact Match
107,107,_msgSender()==_taxWallet,_msgSender()==_taxWallet,Exact Match
108,108,_newFee<=_finalBuyTax&&_newFee<=_finalSellTax,_newFee<=20,The predicates are not equivalent and neither is stronger.
109,109,_msgSender()==_taxWallet,_msgSender()==_taxWallet,Exact Match
110,110,_owner==msg.sender,_msgSender()==_owner,The predicates are equivalent.
111,111,currentAllowance>=amount,currentAllowance>=amount,Exact Match
112,112,account!=address(0),account!=address(0),Exact Match
113,113,accountBalance>=amount,accountBalance>=amount,Exact Match
114,114,sender!=address(0),sender!=address(0),Exact Match
115,115,recipient!=address(0),recipient!=address(0),Exact Match
116,116,senderBalance>=amount,senderBalance>=amount,Exact Match
117,117,account!=address(0),account!=address(0),Exact Match
118,118,owner!=address(0),owner!=address(0),Exact Match
119,119,spender!=address(0),spender!=address(0),Exact Match
120,120,owner!=address(0),owner!=address(0),Exact Match
121,121,owner==spender,spender!=address(0),The predicates are not equivalent and neither is stronger.
122,122,accountBalance>=amount,accountBalance>=amount,Exact Match
