,original_index,contract_id,ground_truth,synthesized,result
19,19,202008_Opyn,c/a==b,"events, however is not implemented here.",The predicates are not equivalent and neither is stronger.
20,20,202008_Opyn,b>0,20 interface,The predicates are not equivalent and neither is stronger.
21,21,202008_Opyn,b!=0,20 interface,The predicates are not equivalent and neither is stronger.
22,22,202008_Opyn,sender!=address(0),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
23,23,202008_Opyn,recipient!=address(0),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
24,24,202008_Opyn,account!=address(0),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
25,25,202008_Opyn,account!=address(0),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
26,26,202008_Opyn,owner!=address(0),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
27,27,202008_Opyn,spender!=address(0),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
28,28,202008_Opyn,!isETH(oToken),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
29,29,202008_Opyn,!isETH(oToken),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
30,30,202008_Opyn,isOwner(),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
31,31,202008_Opyn,newOwner!=address(0),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
32,32,202008_Opyn,block.timestamp<_expiry,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
33,33,202008_Opyn,_windowSize<=_expiry,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
34,34,202008_Opyn,isWithinExponentRange(_collExp),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
35,35,202008_Opyn,isWithinExponentRange(_underlyingExp),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
36,36,202008_Opyn,isWithinExponentRange(_strikeExp),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
37,37,202008_Opyn,isWithinExponentRange(_oTokenExchangeExp),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
38,38,202008_Opyn,!hasExpired(),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
39,39,202008_Opyn,_liquidationIncentive<=200,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
40,40,202008_Opyn,_liquidationFactor<=1000,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
41,41,202008_Opyn,_transactionFee<=100,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
42,42,202008_Opyn,_minCollateralizationRatio>=10,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
43,43,202008_Opyn,decimals>=0,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
44,44,202008_Opyn,!hasVault(msg.sender),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
45,45,202008_Opyn,isETH(collateral),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
46,46,202008_Opyn,hasVault(vaultOwner),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
47,47,202008_Opyn,"collateral.transferFrom(msg.sender,address(this),amt)",Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
48,48,202008_Opyn,hasVault(vaultOwner),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
49,49,202008_Opyn,msg.value==underlyingRequiredToExercise(oTokensToExercise),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
50,50,202008_Opyn,hasVault(vaultOwner),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
51,51,202008_Opyn,oTokensToExercise==0,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
52,52,202008_Opyn,hasVault(msg.sender),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
53,53,202008_Opyn,vault.underlying>0,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
54,54,202008_Opyn,hasVault(msg.sender),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
55,55,202008_Opyn,"isSafe(vault.collateral,newOTokensBalance)",Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
56,56,202008_Opyn,hasVault(msg.sender),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
57,57,202008_Opyn,amtToRemove>0,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
58,58,202008_Opyn,hasVault(msg.sender),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
59,59,202008_Opyn,amtToRemove<=getCollateral(msg.sender),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
60,60,202008_Opyn,"isSafe(newCollateralBalance,vault.oTokensIssued)",Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
61,61,202008_Opyn,hasExpired(),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
62,62,202008_Opyn,hasVault(msg.sender),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
63,63,202008_Opyn,hasVault(vaultOwner),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
64,64,202008_Opyn,isUnsafe(vaultOwner),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
65,65,202008_Opyn,msg.sender!=vaultOwner,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
66,66,202008_Opyn,amtCollateralToPay<=maxCollateralLiquidatable,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
67,67,202008_Opyn,isExerciseWindow(),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
68,68,202008_Opyn,hasVault(vaultToExerciseFrom),Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
69,69,202008_Opyn,oTokensToExercise>0,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
70,70,202008_Opyn,oTokensToExercise<=vault.oTokensIssued,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
71,71,202008_Opyn,balanceOf(msg.sender)>=oTokensToExercise,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
72,72,202008_Opyn,totalCollateralToPay<=vault.collateral,Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
73,73,202008_Opyn,"underlying.transferFrom(msg.sender,address(this),amtUnderlyingToPay)",Other implementations of the EIP may not emit,The predicates are not equivalent and neither is stronger.
74,74,202102_Yearn_ydai,isOwner(),"safeDecreaseAllowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
75,75,202102_Yearn_ydai,newOwner!=address(0),"ance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
76,76,202102_Yearn_ydai,sender!=address(0),"Allowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
77,77,202102_Yearn_ydai,recipient!=address(0),"(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
78,78,202102_Yearn_ydai,account!=address(0),"Allowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
79,79,202102_Yearn_ydai,account!=address(0),"Allowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
80,80,202102_Yearn_ydai,owner!=address(0),"ance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
81,81,202102_Yearn_ydai,spender!=address(0),"(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
82,82,202102_Yearn_ydai,c>=a,"function safeDecreaseAllowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
83,83,202102_Yearn_ydai,b<=a,},The predicates are not equivalent and neither is stronger.
84,84,202102_Yearn_ydai,c/a==b,"safeDecreaseAllowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
85,85,202102_Yearn_ydai,b>0,},The predicates are not equivalent and neither is stronger.
86,86,202102_Yearn_ydai,b!=0,},The predicates are not equivalent and neither is stronger.
87,87,202102_Yearn_ydai,address(this).balance>=amount,"aseAllowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
88,88,202102_Yearn_ydai,success,"aseAllowance(IERC20 token,address spender,uint256 value)internal{",The predicates are not equivalent and neither is stronger.
89,89,202102_Yearn_ydai,"(value==0)||(token.allowance(address(this),spender)==0)","selector,spender,newAllowance)",The predicates are not equivalent and neither is stronger.
90,90,202102_Yearn_ydai,address(token).isContract(),",newAllowance)",The predicates are not equivalent and neither is stronger.
91,91,202102_Yearn_ydai,success,",newAllowance)",The predicates are not equivalent and neither is stronger.
92,92,202102_Yearn_ydai,"abi.decode(returndata,(bool))",",newAllowance)",The predicates are not equivalent and neither is stronger.
93,93,202102_Yearn_ydai,msg.sender==governance,",newAllowance)",The predicates are not equivalent and neither is stronger.
94,94,202102_Yearn_ydai,msg.sender==governance,",newAllowance)",The predicates are not equivalent and neither is stronger.
95,95,202102_Yearn_ydai,msg.sender==governance,",newAllowance)",The predicates are not equivalent and neither is stronger.
96,96,202102_Yearn_ydai,msg.sender==governance,",newAllowance)",The predicates are not equivalent and neither is stronger.
97,97,202102_Yearn_ydai,msg.sender==controller,",newAllowance)",The predicates are not equivalent and neither is stronger.
98,98,202102_Yearn_ydai,reserve!=address(token),",newAllowance)",The predicates are not equivalent and neither is stronger.
99,99,202109_Nimbus,(z=x+y)>=x,},The predicates are not equivalent and neither is stronger.
100,100,202109_Nimbus,(z=x-y)<=x,},The predicates are not equivalent and neither is stronger.
101,101,202109_Nimbus,y==0||(z=x*y)/y==x,by the factory at time of deployment,The predicates are not equivalent and neither is stronger.
102,102,202109_Nimbus,deadline>=block.timestamp,},The predicates are not equivalent and neither is stronger.
103,103,202109_Nimbus,recoveredAddress!=address(0)&&recoveredAddress==owner,factory at the end of each new pair,The predicates are not equivalent and neither is stronger.
104,104,202109_Nimbus,unlocked==1,sender;,The predicates are not equivalent and neither is stronger.
105,105,202109_Nimbus,"success&&(data.length==0||abi.decode(data,(bool)))","function initialize(address _token0,address _token1) external {",The predicates are not equivalent and neither is stronger.
106,106,202109_Nimbus,msg.sender==factory,},The predicates are not equivalent and neither is stronger.
107,107,202109_Nimbus,balance0<=(2**112-1)&&balance1<=(2**112-1),},The predicates are not equivalent and neither is stronger.
108,108,202109_Nimbus,liquidity>0,},The predicates are not equivalent and neither is stronger.
109,109,202109_Nimbus,amount0>0&&amount1>0,},The predicates are not equivalent and neither is stronger.
110,110,202109_Nimbus,amount0Out>0||amount1Out>0,},The predicates are not equivalent and neither is stronger.
111,111,202109_Nimbus,amount0Out<_reserve0&&amount1Out<_reserve1,},The predicates are not equivalent and neither is stronger.
112,112,202109_Nimbus,to!=_token0&&to!=_token1,},The predicates are not equivalent and neither is stronger.
113,113,202109_Nimbus,amount0In>0||amount1In>0,},The predicates are not equivalent and neither is stronger.
114,114,202109_Nimbus,balance0Adjusted.mul(balance1Adjusted)>=uint(_reserve0).mul(_reserve1).mul(10_000**2),},The predicates are not equivalent and neither is stronger.
115,115,202201_Anyswap,(z=x+y)>=x,"address sender,",The predicates are not equivalent and neither is stronger.
116,116,202201_Anyswap,(z=x-y)<=x,"address sender,",The predicates are not equivalent and neither is stronger.
117,117,202201_Anyswap,y==0||(z=x*y)/y==x,"ient,",The predicates are not equivalent and neither is stronger.
118,118,202201_Anyswap,tokenA!=tokenB,"ient,",The predicates are not equivalent and neither is stronger.
119,119,202201_Anyswap,token0!=address(0),"address recipient,",The predicates are not equivalent and neither is stronger.
120,120,202201_Anyswap,amountA>0,",",The predicates are not equivalent and neither is stronger.
121,121,202201_Anyswap,reserveA>0&&reserveB>0,"r,",The predicates are not equivalent and neither is stronger.
122,122,202201_Anyswap,amountIn>0,uint256 amount,The predicates are not equivalent and neither is stronger.
123,123,202201_Anyswap,reserveIn>0&&reserveOut>0,"r,",The predicates are not equivalent and neither is stronger.
124,124,202201_Anyswap,amountOut>0,"r,",The predicates are not equivalent and neither is stronger.
125,125,202201_Anyswap,reserveIn>0&&reserveOut>0,"r,",The predicates are not equivalent and neither is stronger.
126,126,202201_Anyswap,path.length>=2,"address recipient,",The predicates are not equivalent and neither is stronger.
127,127,202201_Anyswap,path.length>=2,"address recipient,",The predicates are not equivalent and neither is stronger.
128,128,202201_Anyswap,"success&&(data.length==0||abi.decode(data,(bool)))","r,",The predicates are not equivalent and neither is stronger.
129,129,202201_Anyswap,"success&&(data.length==0||abi.decode(data,(bool)))","r,",The predicates are not equivalent and neither is stronger.
130,130,202201_Anyswap,"success&&(data.length==0||abi.decode(data,(bool)))","r,",The predicates are not equivalent and neither is stronger.
131,131,202201_Anyswap,success,"address from,",The predicates are not equivalent and neither is stronger.
132,132,202201_Anyswap,deadline>=block.timestamp,bytes32 s,The predicates are not equivalent and neither is stronger.
133,133,202201_Anyswap,msg.sender==mpc(),bytes32 s,The predicates are not equivalent and neither is stronger.
134,134,202201_Anyswap,newMPC!=address(0),bytes32 s,The predicates are not equivalent and neither is stronger.
135,135,202201_Anyswap,newVault!=address(0),bytes32 s,The predicates are not equivalent and neither is stronger.
136,136,202201_Anyswap,v==27||v==28,bytes32 s,The predicates are not equivalent and neither is stronger.
137,137,202201_Anyswap,amounts[amounts.length-1]>=amountOutMin,bytes32 s,The predicates are not equivalent and neither is stronger.
138,138,202201_Anyswap,path[path.length-1]==wNATIVE,bytes32 s,The predicates are not equivalent and neither is stronger.
139,139,202201_Anyswap,amounts[amounts.length-1]>=amountOutMin,bytes32 s,The predicates are not equivalent and neither is stronger.
140,140,202202_TecraSpace,_balances[msg.sender]>=amount,2,The predicates are not equivalent and neither is stronger.
141,141,202202_TecraSpace,_allowances[from][msg.sender]>=amount,//,The predicates are not equivalent and neither is stronger.
142,142,202202_TecraSpace,_balances[from]>=amount,612,The predicates are not equivalent and neither is stronger.
143,143,202202_TecraSpace,_balances[msg.sender]>=amount,2,The predicates are not equivalent and neither is stronger.
144,144,202202_TecraSpace,amount>0,IP2612,The predicates are not equivalent and neither is stronger.
145,145,202202_TecraSpace,isBlacklistAdmin[msg.sender],//,The predicates are not equivalent and neither is stronger.
146,146,202202_TecraSpace,!isBlacklisted[user],612,The predicates are not equivalent and neither is stronger.
147,147,202202_TecraSpace,isBlacklisted[user],12,The predicates are not equivalent and neither is stronger.
148,148,202202_TecraSpace,to.length==amount.length,612,The predicates are not equivalent and neither is stronger.
149,149,202202_TecraSpace,_balances[msg.sender]>=amount[i],//,The predicates are not equivalent and neither is stronger.
150,150,202202_TecraSpace,to.length==amount.length,612,The predicates are not equivalent and neither is stronger.
151,151,202202_TecraSpace,_balances[msg.sender]>=amount*to.length,function permit(,The predicates are not equivalent and neither is stronger.
152,152,202202_TecraSpace,_balances[from]>=amount*to.length,//,The predicates are not equivalent and neither is stronger.
153,153,202202_TecraSpace,isMinter[msg.sender],12,The predicates are not equivalent and neither is stronger.
154,154,202202_TecraSpace,_totalSupply<maxSupply,//,The predicates are not equivalent and neither is stronger.
155,155,202202_TecraSpace,msg.sender==owner,2612,The predicates are not equivalent and neither is stronger.
156,156,202202_TecraSpace,msg.sender==newOwner,2612,The predicates are not equivalent and neither is stronger.
157,157,202202_TecraSpace,isPauser[msg.sender],//,The predicates are not equivalent and neither is stronger.
158,158,202202_TecraSpace,!paused,V3,The predicates are not equivalent and neither is stronger.
159,159,202202_TecraSpace,paused,V2 style,The predicates are not equivalent and neither is stronger.
160,160,202202_TecraSpace,deadline>=block.timestamp,//,The predicates are not equivalent and neither is stronger.
161,161,202202_TecraSpace,recoveredAddress!=address(0)&&recoveredAddress==user,//,The predicates are not equivalent and neither is stronger.
162,162,202202_TecraSpace,_allowances[from][spender]>=amount,//,The predicates are not equivalent and neither is stronger.
163,163,202202_TecraSpace,_balances[from]>=amount,//,The predicates are not equivalent and neither is stronger.
164,164,202202_TecraSpace,to!=address(0),//,The predicates are not equivalent and neither is stronger.
165,165,202202_TecraSpace,from!=address(0),//,The predicates are not equivalent and neither is stronger.
166,166,202206_InverseFinance,crvLPTokenPrice>=lower&&crvLPTokenPrice<=upper,crvLPTokenPrice>=lower&&crvLPTokenPrice<=upper,Exact Match
167,167,202209_BadGuysbyRPF,value==0,*,The predicates are not equivalent and neither is stronger.
168,168,202209_BadGuysbyRPF,address(this).balance>=amount,transfers `tokenId` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
169,169,202209_BadGuysbyRPF,success,transfers `tokenId` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
170,170,202209_BadGuysbyRPF,address(this).balance>=value,transfers `tokenId` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
171,171,202209_BadGuysbyRPF,isContract(target),*,The predicates are not equivalent and neither is stronger.
172,172,202209_BadGuysbyRPF,isContract(target),* Requirements:,The predicates are not equivalent and neither is stronger.
173,173,202209_BadGuysbyRPF,isContract(target),* Requirements:,The predicates are not equivalent and neither is stronger.
174,174,202209_BadGuysbyRPF,owner()==_msgSender(),Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
175,175,202209_BadGuysbyRPF,newOwner!=address(0),Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
176,176,202209_BadGuysbyRPF,_reserve<=maxsupply,Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
177,177,202209_BadGuysbyRPF,quantity<=reserve,Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
178,178,202209_BadGuysbyRPF,isPaused==false,Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
179,179,202209_BadGuysbyRPF,chosenAmount>0,Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
180,180,202209_BadGuysbyRPF,_numberMinted(msg.sender)+chosenAmount<=1,Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
181,181,202209_BadGuysbyRPF,totalSupply()+chosenAmount<=maxsupply-reserve,Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
182,182,202209_BadGuysbyRPF,"MerkleProof.verify(_merkleProof,rootHash,leaf)",Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
183,183,202209_BadGuysbyRPF,_exists(tokenId),Id` token from `from` to `to`.,The predicates are not equivalent and neither is stronger.
184,184,202210_N00d,c>=a,d85a470,The predicates are not equivalent and neither is stronger.
185,185,202210_N00d,b<=a,ad8045d85a470,The predicates are not equivalent and neither is stronger.
186,186,202210_N00d,c/a==b,5a470,The predicates are not equivalent and neither is stronger.
187,187,202210_N00d,b>0,8045d85a470,The predicates are not equivalent and neither is stronger.
188,188,202210_N00d,b!=0,8045d85a470,The predicates are not equivalent and neither is stronger.
189,189,202210_N00d,address(this).balance>=amount,73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
190,190,202210_N00d,success,73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
191,191,202210_N00d,address(this).balance>=value,73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
192,192,202210_N00d,isContract(target),73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
193,193,202210_N00d,sender!=address(0),73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
194,194,202210_N00d,recipient!=address(0),73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
195,195,202210_N00d,account!=address(0),73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
196,196,202210_N00d,account!=address(0),73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
197,197,202210_N00d,owner!=address(0),73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
198,198,202210_N00d,spender!=address(0),73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
199,199,202210_N00d,!__lock_modifier0_lock,73b7bfad8045d85a470 is returned for accounts without code,The predicates are not equivalent and neither is stronger.
200,200,202210_Uerii,currentAllowance>=amount,decreaseAllowance(,The predicates are not equivalent and neither is stronger.
201,201,202210_Uerii,currentAllowance>=subtractedValue,"address spender,",The predicates are not equivalent and neither is stronger.
202,202,202210_Uerii,sender!=address(0),"address spender,",The predicates are not equivalent and neither is stronger.
203,203,202210_Uerii,recipient!=address(0),"address spender,",The predicates are not equivalent and neither is stronger.
204,204,202210_Uerii,senderBalance>=amount,"address spender,",The predicates are not equivalent and neither is stronger.
205,205,202210_Uerii,account!=address(0),"address spender,",The predicates are not equivalent and neither is stronger.
206,206,202210_Uerii,account!=address(0),"address spender,",The predicates are not equivalent and neither is stronger.
207,207,202210_Uerii,accountBalance>=amount,"address spender,",The predicates are not equivalent and neither is stronger.
208,208,202210_Uerii,owner!=address(0),"address spender,",The predicates are not equivalent and neither is stronger.
209,209,202210_Uerii,spender!=address(0),"address spender,",The predicates are not equivalent and neither is stronger.
210,210,202210_Uerii,totalSupply()+amount<=CAP,"address spender,",The predicates are not equivalent and neither is stronger.
211,211,202212_JAY,b<=a,",",The predicates are not equivalent and neither is stronger.
212,212,202212_JAY,b>0,"address to,",The predicates are not equivalent and neither is stronger.
213,213,202212_JAY,b>0,"address to,",The predicates are not equivalent and neither is stronger.
214,214,202212_JAY,currentAllowance>=subtractedValue,(,The predicates are not equivalent and neither is stronger.
215,215,202212_JAY,from!=address(0),(,The predicates are not equivalent and neither is stronger.
216,216,202212_JAY,to!=address(0),(,The predicates are not equivalent and neither is stronger.
217,217,202212_JAY,fromBalance>=amount,(,The predicates are not equivalent and neither is stronger.
218,218,202212_JAY,account!=address(0),(,The predicates are not equivalent and neither is stronger.
219,219,202212_JAY,account!=address(0),(,The predicates are not equivalent and neither is stronger.
220,220,202212_JAY,accountBalance>=amount,(,The predicates are not equivalent and neither is stronger.
221,221,202212_JAY,owner!=address(0),(,The predicates are not equivalent and neither is stronger.
222,222,202212_JAY,spender!=address(0),(,The predicates are not equivalent and neither is stronger.
223,223,202212_JAY,currentAllowance>=amount,(,The predicates are not equivalent and neither is stronger.
224,224,202212_JAY,owner()==_msgSender(),(,The predicates are not equivalent and neither is stronger.
225,225,202212_JAY,newOwner!=address(0),(,The predicates are not equivalent and neither is stronger.
226,226,202212_JAY,msg.value==2*10**18,(,The predicates are not equivalent and neither is stronger.
227,227,202212_JAY,!__lock_modifier0_lock,(,The predicates are not equivalent and neither is stronger.
228,228,202212_JAY,lockDev==false,(,The predicates are not equivalent and neither is stronger.
229,229,202212_JAY,msg.value>=(total).mul(buyNftFeeEth),(,The predicates are not equivalent and neither is stronger.
230,230,202212_JAY,success,(,The predicates are not equivalent and neither is stronger.
231,231,202212_JAY,start,(,The predicates are not equivalent and neither is stronger.
232,232,202212_JAY,msg.value>=(total).mul(sellNftFeeEth).div(2),(,The predicates are not equivalent and neither is stronger.
233,233,202212_JAY,msg.value>=(total).mul(sellNftFeeEth),(,The predicates are not equivalent and neither is stronger.
234,234,202212_JAY,success,(,The predicates are not equivalent and neither is stronger.
235,235,202212_JAY,value>MIN,(,The predicates are not equivalent and neither is stronger.
236,236,202212_JAY,success,(,The predicates are not equivalent and neither is stronger.
237,237,202212_JAY,success2,(,The predicates are not equivalent and neither is stronger.
238,238,202212_JAY,msg.value>MIN,(,The predicates are not equivalent and neither is stronger.
239,239,202212_JAY,start,(,The predicates are not equivalent and neither is stronger.
240,240,202212_JAY,success,(,The predicates are not equivalent and neither is stronger.
241,241,202212_JAY,timeStamp>nextFeeUpdate,(,The predicates are not equivalent and neither is stronger.
242,242,202212_JAY,owner()==msg.sender||(sellNftFeeEth.div(2)<_sellNftFeeEth&&sellNftFeeEth.mul(150)>_sellNftFeeEth),(,The predicates are not equivalent and neither is stronger.
243,243,202305_ERC20TokenBank,c>=a,c>=a,Exact Match
244,244,202305_ERC20TokenBank,b<=a,b<=a,Exact Match
245,245,202305_ERC20TokenBank,a==0||c/a==b,a==0||c/a==b,Exact Match
246,246,202305_ERC20TokenBank,b>0,b>0,Exact Match
247,247,202305_ERC20TokenBank,address(this).balance>=amount,address(this).balance>=amount,Exact Match
248,248,202305_ERC20TokenBank,success,success,Exact Match
249,249,202305_ERC20TokenBank,"(value==0)||(token.allowance(address(this),spender)==0)","(value==0)||(token.allowance(address(this),spender)==0)",Exact Match
250,250,202305_ERC20TokenBank,address(token).isContract(),address(token).isContract(),Exact Match
251,251,202305_ERC20TokenBank,success,success,Exact Match
252,252,202305_ERC20TokenBank,"abi.decode(returndata,(bool))","abi.decode(returndata,(bool))",Exact Match
253,253,202305_ERC20TokenBank,_contract_owner==msg.sender,_contract_owner==msg.sender,Exact Match
254,254,202305_ERC20TokenBank,newOwner!=address(0),newOwner!=address(0),Exact Match
255,255,202305_ERC20TokenBank,_new_amount>0,_new_amount>0,Exact Match
256,256,202305_ERC20TokenBank,amount>=minimum_amount,amount>=minimum_amount,Exact Match
257,257,202305_ERC20TokenBank,amount<=ERC20TokenBankInterface(from_bank).balance(),amount<=usdc.balanceOf(address(this)),The predicates are not equivalent and neither is stronger.
258,258,202305_ERC20TokenBank,namount>=(camount*995)/1000,namount>=minimum_amount,The predicates are not equivalent and neither is stronger.
259,259,202306_VINU,owner()==_msgSender(),) public view virtual override returns (uint256) {,The predicates are not equivalent and neither is stronger.
260,260,202306_VINU,newOwner!=address(0),*/,The predicates are not equivalent and neither is stronger.
261,261,202306_VINU,currentAllowance>=amount,function allowance(,The predicates are not equivalent and neither is stronger.
